два	d v a
мужчына	m u ʂ t͡ʂ ɨ n a
форма	f o r m a
хворы	x v o r ɨ
нейкі	nʲ e j kʲ i
ігар	j i ɣ a r
менск	mʲ e n s k
напэўна	n a p e u̯ n a
менавіта	mʲ e n a vʲ i t a
там	t a m
нідзе	nʲ i d͡zʲ e
палац	p a ɫ a t͡s
марыя	m a r ɨ j a
пуцін	p u t͡sʲ i n
дзён	d͡zʲ o n
журнал	ʐ u r n a ɫ
ганьба	ɣ a nʲ b a
выпіць	v ɨ pʲ i t͡sʲ
лукашэнкам	ɫ u k a ʂ e n k a m
грошы	ɣ r o ʂ ɨ
выбар	v ɨ b a r
слухачка	s ɫ u x a t͡ʂ k a
масква	m a s k v a
частка	t͡ʂ a s t k a
пётр	pʲ o t r
гэтае	ɣ e t a j e
час	t͡ʂ a s
слухаць	s ɫ u x a t͡sʲ
казаць	k a z a t͡sʲ
над	n a t
малы	m a ɫ ɨ
вячаслаў	vʲ a t͡ʂ a s ɫ a u̯
пачуць	p a t͡ʂ u t͡sʲ
пачатак	p a t͡ʂ a t a k
радыё	r a d ɨ j o
лёс	lʲ o s
апошні	a p o ʂ nʲ i
грамадзянства	ɣ r a m a d͡zʲ a n s t v a
расейскі	r a sʲ e j s kʲ i
павінен	p a vʲ i nʲ e n
уваходзіць	u v a x o d͡zʲ i t͡sʲ
адказаць	a t k a z a t͡sʲ
сэрца	s e r t͡s a
аляксей	a lʲ a k sʲ e j
адпачываць	a t p a t͡ʂ ɨ v a t͡sʲ
раса	r a s a
божа	b o ʐ a
дзесьці	d͡zʲ e sʲ t͡sʲ i
палітыка	p a lʲ i t ɨ k a
праблема	p r a b lʲ e m a
колькі	k o lʲ kʲ i
чырвоны	t͡ʂ ɨ r v o n ɨ
даць	d a t͡sʲ
чаму	t͡ʂ a m u
жарт	ʐ a r t
яна	j a n a
тры	t r ɨ
гатовы	ɣ a t o v ɨ
паспрабаваць	p a s p r a b a v a t͡sʲ
такі	t a kʲ i
наш	n a ʂ
нават	n a v a t
пад	p a t
дадому	d a d o m u
месца	mʲ e s t͡s a
спадарыня	s p a d a r ɨ nʲ a
шукаць	ʂ u k a t͡sʲ
менш	mʲ e n ʂ
заўжды	z a u̯ ʐ d ɨ
працаваць	p r a t͡s a v a t͡sʲ
шлях	ʂ lʲ a x
палова	p a ɫ o v a
год	ɣ o t
правы	p r a v ɨ
старажытны	s t a r a ʐ ɨ t n ɨ
дні	d nʲ i
міністар	mʲ i nʲ i s t a r
зноў	z n o u̯
рашэнне	r a ʂ e nʲː e
зша	ʂː a
лукашэнку	ɫ u k a ʂ e n k u
або	a b o
маці	m a t͡sʲ i
савецкі	s a vʲ e t͡s kʲ i
ларыса	ɫ a r ɨ s a
чалавек	t͡ʂ a ɫ a vʲ e k
забіць	z a bʲ i t͡sʲ
рух	r u x
усе	u sʲ e
ізраільскі	j i z r a j i lʲ s kʲ i
незалежны	nʲ e z a lʲ e ʐ n ɨ
ірына	j i r ɨ n a
нумар	n u m a r
галоўны	ɣ a ɫ o u̯ n ɨ
таварыш	t a v a r ɨ ʂ
вольга	v o lʲ ɣ a
даваць	d a v a t͡sʲ
ціск	t͡sʲ i s k
першы	pʲ e r ʂ ɨ
брэст	b r e s t
яўген	j a u̯ ɣʲ e n
туды	t u d ɨ
заставацца	z a s t a v a t͡sː a
аляксандар	a lʲ a k s a n d a r
адносіны	a d n o sʲ i n ɨ
хіба	xʲ i b a
старшыня	s t a r ʂ ɨ nʲ a
сабака	s a b a k a
скасаваць	s k a s a v a t͡sʲ
забойства	z a b o j s t v a
мінулы	mʲ i n u ɫ ɨ
нехта	nʲ e x t a
нешта	nʲ e ʂ t a
учора	u t͡ʂ o r a
польшча	p o lʲ ʂ t͡ʂ a
беларусы	bʲ e ɫ a r u s ɨ
буду	b u d u
кіраўнік	kʲ i r a u̯ nʲ i k
куды	k u d ɨ
тэрмін	t e r mʲ i n
дзе	d͡zʲ e
раманчук	r a m a n t͡ʂ u k
васіль	v a sʲ i lʲ
бізнес	bʲ i zʲ nʲ e s
ягоны	j a ɣ o n ɨ
нож	n o ʂ
мора	m o r a
адна	a d n a
вялікі	vʲ a lʲ i kʲ i
блакітны	b ɫ a kʲ i t n ɨ
сюды	sʲ u d ɨ
дапамагчы	d a p a m a x t͡ʂ ɨ
дзве	d͡zʲ vʲ e
нішто	nʲ i ʂ t o
падлога	p a d ɫ o ɣ a
стаяць	s t a j a t͡sʲ
актыўны	a k t ɨ u̯ n ɨ
побач	p o b a t͡ʂ
алег	a lʲ e x
адукацыя	a d u k a t͡s ɨ j a
чакаць	t͡ʂ a k a t͡sʲ
сярод	sʲ a r o t
яно	j a n o
жыць	ʐ ɨ t͡sʲ
ян	j a n
слухач	s ɫ u x a t͡ʂ
прадаваць	p r a d a v a t͡sʲ
грамадства	ɣ r a m a t s t v a
слова	s ɫ o v a
газета	ɣ a zʲ e t a
бомба	b o m b a
лета	lʲ e t a
выбары	v ɨ b a r ɨ
спаць	s p a t͡sʲ
дзеці	d͡zʲ e t͡sʲ i
народ	n a r o t
курыца	k u r ɨ t͡s a
браць	b r a t͡sʲ
палец	p a lʲ e t͡s
літоўскі	lʲ i t o u̯ s kʲ i
другі	d r u ɣʲ i
шырокі	ʂ ɨ r o kʲ i
рана	r a n a
трымаць	t r ɨ m a t͡sʲ
раптам	r a p t a m
сапраўды	s a p r a u̯ d ɨ
абмяркоўваць	a b mʲ a r k o u̯ v a t͡sʲ
жонка	ʐ o n k a
забойца	z a b o j t͡s a
паглядзець	p a ɣ lʲ a d͡zʲ e t͡sʲ
раман	r a m a n
здароўе	z d a r o u̯ j e
адно	a d n o
вучыць	v u t͡ʂ ɨ t͡sʲ
наша	n a ʂ a
ваш	v a ʂ
дзякаваць	d͡zʲ a k a v a t͡sʲ
адкуль	a t k u lʲ
мусіць	m u sʲ i t͡sʲ
боль	b o lʲ
перадаць	pʲ e r a d a t͡sʲ
аўтар	a u̯ t a r
гісторыя	ɣʲ i s t o r ɨ j a
белы	bʲ e ɫ ɨ
беларус	bʲ e ɫ a r u s
барысаў	b a r ɨ s a u̯
царква	t͡s a r k v a
гэтая	ɣ e t a j a
бацька	b a t͡sʲ k a
вадзіць	v a d͡zʲ i t͡sʲ
свой	s v o j
выходзіць	v ɨ x o d͡zʲ i t͡sʲ
любы	lʲ u b ɨ
добры	d o b r ɨ
хтосьці	x t o sʲ t͡sʲ i
канстанцін	k a n s t a nʲ t͡sʲ i n
стаць	s t a t͡sʲ
галіна	ɣ a lʲ i n a
навіны	n a vʲ i n ɨ
размова	r a z m o v a
красавіцкі	k r a s a vʲ i t͡s kʲ i
кепскі	kʲ e p s kʲ i
сябар	sʲ a b a r
вядома	vʲ a d o m a
музычны	m u z ɨ t͡ʂ n ɨ
дзевяць	d͡zʲ e vʲ a t͡sʲ
ціха	t͡sʲ i x a
момант	m o m a n t
будзеш	b u d͡zʲ e ʂ
крок	k r o k
сястра	sʲ a s t r a
кроў	k r o u̯
шыльда	ʂ ɨ lʲ d a
розум	r o z u m
адпачынак	a t p a t͡ʂ ɨ n a k
мова	m o v a
раіць	r a j i t͡sʲ
замест	z a mʲ e s t
дрот	d r o t
жаночы	ʐ a n o t͡ʂ ɨ
гданьск	ɣ d a nʲ s k
кампанія	k a m p a nʲ i j a
убачыць	u b a t͡ʂ ɨ t͡sʲ
сын	s ɨ n
ложак	ɫ o ʐ a k
юбілей	j u bʲ i lʲ e j
будзеце	b u d͡zʲ e t͡sʲ e
навошта	n a v o ʂ t a
міністр	mʲ i nʲ i s t r
затым	z a t ɨ m
уладзімер	u ɫ a d͡zʲ i mʲ e r
гісторык	ɣʲ i s t o r ɨ k
давай	d a v a j
іван	j i v a n
рэч	r e t͡ʂ
статкевіч	s t a t kʲ e vʲ i t͡ʂ
захад	z a x a t
нажніцы	n a ʐ nʲ i t͡s ɨ
вячорка	vʲ a t͡ʂ o r k a
шахматы	ʂ a x m a t ɨ
паліцыя	p a lʲ i t͡s ɨ j a
слоўнік	s ɫ o u̯ nʲ i k
размаўляць	r a z m a u̯ lʲ a t͡sʲ
зямля	zʲ a m lʲ a
заўтра	z a u̯ t r a
пісаць	pʲ i s a t͡sʲ
сто	s t o
алена	a lʲ e n a
чатыры	t͡ʂ a t ɨ r ɨ
савет	s a vʲ e t
рынак	r ɨ n a k
міліцыя	mʲ i lʲ i t͡s ɨ j a
аляксандр	a lʲ a k s a n d r
палепшыць	p a lʲ e p ʂ ɨ t͡sʲ
вядомы	vʲ a d o m ɨ
конь	k o nʲ
трэці	t r e t͡sʲ i
новік	n o vʲ i k
выраз	v ɨ r a s
памяць	p a mʲ a t͡sʲ
думаць	d u m a t͡sʲ
бок	b o k
паставіць	p a s t a vʲ i t͡sʲ
раён	r a j o n
ірак	j i r a k
паступаць	p a s t u p a t͡sʲ
універмаг	u nʲ i vʲ e r m a x
мікалай	mʲ i k a ɫ a j
сумнявацца	s u m nʲ a v a t͡sː a
чарга	t͡ʂ a r ɣ a
наступны	n a s t u p n ɨ
гітара	ɣʲ i t a r a
рыгор	r ɨ ɣ o r
птушка	p t u ʂ k a
вайна	v a j n a
пасад	p a s a t
любіць	lʲ u bʲ i t͡sʲ
трынаццаць	t r ɨ n a t͡sː a t͡sʲ
новы	n o v ɨ
падарожжа	p a d a r o ʐː a
беларуска	bʲ e ɫ a r u s k a
прынамсі	p r ɨ n a m sʲ i
памылка	p a m ɨ ɫ k a
скарыстоўваць	s k a r ɨ s t o u̯ v a t͡sʲ
міцкевіч	mʲ i t͡s kʲ e vʲ i t͡ʂ
прадпрыемства	p r a t p r ɨ j e m s t v a
лекі	lʲ e kʲ i
доўг	d o u̯ x
павел	p a vʲ e ɫ
моладзь	m o ɫ a t͡sʲ
дзяржава	d͡zʲ a r ʐ a v a
будаваць	b u d a v a t͡sʲ
пытанне	p ɨ t a nʲː e
сяброўства	sʲ a b r o u̯ s t v a
дастаткова	d a s t a t k o v a
мо	m o
будзем	b u d͡zʲ e m
цэлы	t͡s e ɫ ɨ
натоўп	n a t o u̯ p
прыходзіць	p r ɨ x o d͡zʲ i t͡sʲ
яраслаў	j a r a s ɫ a u̯
капейка	k a pʲ e j k a
іосіф	j i o sʲ i f
шаноўны	ʂ a n o u̯ n ɨ
заканадаўства	z a k a n a d a u̯ s t v a
старонка	s t a r o n k a
тэлефон	t e lʲ e f o n
прыклад	p r ɨ k ɫ a t
чытаць	t͡ʂ ɨ t a t͡sʲ
воблака	v o b ɫ a k a
зразумець	z r a z u mʲ e t͡sʲ
прадаць	p r a d a t͡sʲ
узровень	u z r o vʲ e nʲ
спакой	s p a k o j
крыху	k r ɨ x u
цяжкі	t͡sʲ a ʂ kʲ i
нагі	n a ɣʲ i
сустрэча	s u s t r e t͡ʂ a
надзея	n a d͡zʲ e j a
брат	b r a t
голас	ɣ o ɫ a s
грыб	ɣ r ɨ p
улада	u ɫ a d a
міхаіл	mʲ i x a j i ɫ
розны	r o z n ɨ
права	p r a v a
вера	vʲ e r a
жаніх	ʐ a nʲ i x
моц	m o t͡s
плаціць	p ɫ a t͡sʲ i t͡sʲ
тавар	t a v a r
лёгкае	lʲ o x k a j e
падобны	p a d o b n ɨ
уладзімір	u ɫ a d͡zʲ i mʲ i r
увосень	u v o sʲ e nʲ
кут	k u t
сярэдні	sʲ a r e d nʲ i
урад	u r a t
возера	v o zʲ e r a
пагроза	p a ɣ r o z a
бык	b ɨ k
верыць	vʲ e r ɨ t͡sʲ
граната	ɣ r a n a t a
дазволіць	d a z v o lʲ i t͡sʲ
артур	a r t u r
мяккі	mʲ a kʲː i
страх	s t r a x
зваць	z v a t͡sʲ
прыгожы	p r ɨ ɣ o ʐ ɨ
платформа	p ɫ a t f o r m a
дзед	d͡zʲ e t
вялікабрытанія	vʲ a lʲ i k a b r ɨ t a nʲ i j a
вёска	vʲ o s k a
ўчора	w t͡ʂ o r a
артыкул	a r t ɨ k u ɫ
таямніца	t a j a m nʲ i t͡s a
польскі	p o lʲ s kʲ i
дачка	d a t͡ʂ k a
шкада	ʂ k a d a
аэрапорт	a e r a p o r t
насельніцтва	n a sʲ e lʲ nʲ i t͡s t v a
ваша	v a ʂ a
шалёны	ʂ a lʲ o n ɨ
хата	x a t a
магчымасць	m a x t͡ʂ ɨ m a sʲ t͡sʲ
закон	z a k o n
абараняць	a b a r a nʲ a t͡sʲ
хваля	x v a lʲ a
параўнаць	p a r a u̯ n a t͡sʲ
ёсць	j o sʲ t͡sʲ
пасведчанне	p a sʲ vʲ e t ː͡ʂ a nʲː e
кінуць	kʲ i n u t͡sʲ
дадаць	d a d a t͡sʲ
пакой	p a k o j
пазычаць	p a z ɨ t͡ʂ a t͡sʲ
баяцца	b a j a t͡sː a
еўрапейскі	j e u̯ r a pʲ e j s kʲ i
ўключаць	w k lʲ u t͡ʂ a t͡sʲ
помнік	p o m nʲ i k
перакладаць	pʲ e r a k ɫ a d a t͡sʲ
усход	u s x o t
ўзяць	w zʲ a t͡sʲ
аснова	a s n o v a
бачыць	b a t͡ʂ ɨ t͡sʲ
амерыка	a mʲ e r ɨ k a
адрас	a d r a s
тэлевізар	t e lʲ e vʲ i z a r
саюз	s a j u s
фільм	fʲ i lʲ m
хадзіць	x a d͡zʲ i t͡sʲ
том	t o m
важны	v a ʐ n ɨ
папрасіць	p a p r a sʲ i t͡sʲ
страляць	s t r a lʲ a t͡sʲ
адсюль	a t͡sʲ sʲ u lʲ
рашаць	r a ʂ a t͡sʲ
аляксандра	a lʲ a k s a n d r a
літва	lʲ i t v a
філіп	fʲ i lʲ i p
пуп	p u p
прасіць	p r a sʲ i t͡sʲ
вірус	vʲ i r u s
гонар	ɣ o n a r
рака	r a k a
дрэва	d r e v a
дзесяць	d͡zʲ e sʲ a t͡sʲ
бог	b o x
цімафей	t͡sʲ i m a fʲ e j
іран	j i r a n
айчына	a j t͡ʂ ɨ n a
генадзь	ɣʲ e n a t͡sʲ
анастасія	a n a s t a sʲ i j a
тыдзень	t ɨ d͡zʲ e nʲ
дзіця	d͡zʲ i t͡sʲ a
ґвалт	ɡ v a ɫ t
перамога	pʲ e r a m o ɣ a
панядзелак	p a nʲ a d͡zʲ e ɫ a k
леанід	lʲ e a nʲ i t
пераклад	pʲ e r a k ɫ a t
верталёт	vʲ e r t a lʲ o t
мой	m o j
праграма	p r a ɣ r a m a
цень	t͡sʲ e nʲ
школа	ʂ k o ɫ a
варшава	v a r ʂ a v a
аўстрыйскі	a u̯ s t r ɨ j s kʲ i
усюды	u sʲ u d ɨ
садоўскі	s a d o u̯ s kʲ i
культура	k u lʲ t u r a
хлопец	x ɫ o pʲ e t͡s
нікуды	nʲ i k u d ɨ
суддзя	s u d͡zʲː a
жанчыны	ʐ a n t͡ʂ ɨ n ɨ
дасягнуць	d a sʲ a ɣ n u t͡sʲ
габрэй	ɣ a b r e j
інфармацыя	j i n f a r m a t͡s ɨ j a
кітай	kʲ i t a j
месяц	mʲ e sʲ a t͡s
сем	sʲ e m
адчыніць	a t ː͡ʂ ɨ nʲ i t͡sʲ
дух	d u x
выдатны	v ɨ d a t n ɨ
прэзідэнт	p r e zʲ i d e n t
яйка	j a j k a
перажыць	pʲ e r a ʐ ɨ t͡sʲ
знак	z n a k
будынак	b u d ɨ n a k
познань	p o z n a nʲ
абараніць	a b a r a nʲ i t͡sʲ
заходні	z a x o d nʲ i
яўгенія	j a u̯ ɣʲ e nʲ i j a
нага	n a ɣ a
паскарэнне	p a s k a r e nʲː e
вынік	v ɨ nʲ i k
гаварыць	ɣ a v a r ɨ t͡sʲ
устаць	u s t a t͡sʲ
праца	p r a t͡s a
каліноўскі	k a lʲ i n o u̯ s kʲ i
скарыстаць	s k a r ɨ s t a t͡sʲ
будучы	b u d u t͡ʂ ɨ
жыццё	ʐ ɨ t͡sʲː o
дарагі	d a r a ɣʲ i
жорсткі	ʐ o r s t kʲ i
чуць	t͡ʂ u t͡sʲ
мароз	m a r o s
літаратура	lʲ i t a r a t u r a
узяць	u zʲ a t͡sʲ
арцём	a r t͡sʲ o m
факт	f a k t
украіна	u k r a j i n a
фёдар	fʲ o d a r
мужчыну	m u ʂ t͡ʂ ɨ n u
прыняць	p r ɨ nʲ a t͡sʲ
ехаць	j e x a t͡sʲ
украінскі	u k r a j i n s kʲ i
агульны	a ɣ u lʲ n ɨ
творчы	t v o r t͡ʂ ɨ
паказваць	p a k a z v a t͡sʲ
разумець	r a z u mʲ e t͡sʲ
ступень	s t u pʲ e nʲ
тварог	t v a r o x
коласа	k o ɫ a s a
самагубства	s a m a ɣ u p s t v a
дзяўчына	d͡zʲ a u̯ t͡ʂ ɨ n a
поўны	p o u̯ n ɨ
сапраўдны	s a p r a u̯ d n ɨ
пятніцы	pʲ a t nʲ i t͡s ɨ
катаваць	k a t a v a t͡sʲ
шкло	ʂ k ɫ o
жывы	ʐ ɨ v ɨ
стол	s t o ɫ
шлюб	ʂ lʲ u p
служба	s ɫ u ʐ b a
сёння	sʲ o nʲː a
свабодны	s v a b o d n ɨ
ляжаць	lʲ a ʐ a t͡sʲ
расія	r a sʲ i j a
максім	m a k sʲ i m
вінаваты	vʲ i n a v a t ɨ
дзікі	d͡zʲ i kʲ i
пяцёра	pʲ a t͡sʲ o r a
ўвесну	w vʲ e s n u
застацца	z a s t a t͡sː a
падарунак	p a d a r u n a k
свет	sʲ vʲ e t
аграрны	a ɣ r a r n ɨ
неабходны	nʲ e a p x o d n ɨ
кіно	kʲ i n o
трыста	t r ɨ s t a
падзея	p a d͡zʲ e j a
адтуль	a tː u lʲ
забарона	z a b a r o n a
міжнародны	mʲ i ʐ n a r o d n ɨ
бяда	bʲ a d a
ведаць	vʲ e d a t͡sʲ
цела	t͡sʲ e ɫ a
гуляць	ɣ u lʲ a t͡sʲ
забываць	z a b ɨ v a t͡sʲ
віншаваць	vʲ i n ʂ a v a t͡sʲ
ізраіль	j i z r a j i lʲ
ставіць	s t a vʲ i t͡sʲ
доўгі	d o u̯ ɣʲ i
горшы	ɣ o r ʂ ɨ
сабраць	s a b r a t͡sʲ
здольны	z d o lʲ n ɨ
купіць	k u pʲ i t͡sʲ
цэнтр	t͡s e n t r
многа	m n o ɣ a
значыць	z n a t͡ʂ ɨ t͡sʲ
паводзіны	p a v o d͡zʲ i n ɨ
стрэліць	s t r e lʲ i t͡sʲ
кніга	k nʲ i ɣ a
чорны	t͡ʂ o r n ɨ
вузел	v u zʲ e ɫ
эканоміка	e k a n o mʲ i k a
неба	nʲ e b a
сонца	s o n t͡s a
карта	k a r t a
дзяцінства	d͡zʲ a t͡sʲ i n s t v a
дзейнічаць	d͡zʲ e j nʲ i t͡ʂ a t͡sʲ
дом	d o m
узімку	u zʲ i m k u
ева	j e v a
капаць	k a p a t͡sʲ
упершыню	u pʲ e r ʂ ɨ nʲ u
выключаць	v ɨ k lʲ u t͡ʂ a t͡sʲ
казахстан	k a z a x s t a n
камень	k a mʲ e nʲ
навіна	n a vʲ i n a
ягор	j a ɣ o r
дома	d o m a
паласа	p a ɫ a s a
журналістка	ʐ u r n a lʲ i s t k a
мінулае	mʲ i n u ɫ a j e
адзіны	a d͡zʲ i n ɨ
леў	lʲ e u̯
дапамога	d a p a m o ɣ a
кароткі	k a r o t kʲ i
пакідаць	p a kʲ i d a t͡sʲ
ісус	j i s u s
прыродны	p r ɨ r o d n ɨ
краіна	k r a j i n a
язык	j a z ɨ k
гомель	ɣ o mʲ e lʲ
цікавы	t͡sʲ i k a v ɨ
радзіма	r a d͡zʲ i m a
івашкевіч	j i v a ʂ kʲ e vʲ i t͡ʂ
ласка	ɫ a s k a
уведаць	u vʲ e d a t͡sʲ
магілёў	m a ɣʲ i lʲ o u̯
паступіць	p a s t u pʲ i t͡sʲ
гнаць	ɣ n a t͡sʲ
трыццаць	t r ɨ t͡sː a t͡sʲ
выкарыстаць	v ɨ k a r ɨ s t a t͡sʲ
шчыт	ʂ t͡ʂ ɨ t
відовішча	vʲ i d o vʲ i ʂ t͡ʂ a
пажадаць	p a ʐ a d a t͡sʲ
калёсы	k a lʲ o s ɨ
мур	m u r
рэдкі	r e t kʲ i
ангельскі	a n ɣʲ e lʲ s kʲ i
мужчынамі	m u ʂ t͡ʂ ɨ n a mʲ i
меч	mʲ e t͡ʂ
ліст	lʲ i s t
мяса	mʲ a s a
чый	t͡ʂ ɨ j
правіла	p r a vʲ i ɫ a
народны	n a r o d n ɨ
масла	m a s ɫ a
крэмль	k r e m lʲ
нырка	n ɨ r k a
група	ɣ r u p a
сон	s o n
сыходзіць	s ɨ x o d͡zʲ i t͡sʲ
вобраз	v o b r a s
рубель	r u bʲ e lʲ
параўнанне	p a r a u̯ n a nʲː e
душа	d u ʂ a
грузія	ɣ r u zʲ i j a
спрачацца	s p r a t͡ʂ a t͡sː a
пажар	p a ʐ a r
лоб	ɫ o p
поле	p o lʲ e
мастак	m a s t a k
муж	m u ʂ
салодкі	s a ɫ o t kʲ i
багаты	b a ɣ a t ɨ
пятнаццаць	pʲ a t n a t͡sː a t͡sʲ
просты	p r o s t ɨ
рэдка	r e t k a
кірыл	kʲ i r ɨ ɫ
маз	m a s
жанчына	ʐ a n t͡ʂ ɨ n a
пасылаць	p a s ɨ ɫ a t͡sʲ
кіеў	kʲ i j e u̯
сучасны	s u t͡ʂ a s n ɨ
біць	bʲ i t͡sʲ
вялікдзень	vʲ a lʲ i ɡ d͡zʲ e nʲ
сёстры	sʲ o s t r ɨ
мама	m a m a
зламаць	z ɫ a m a t͡sʲ
быкаў	b ɨ k a u̯
станцыя	s t a n t͡s ɨ j a
мужчын	m u ʂ t͡ʂ ɨ n
партыя	p a r t ɨ j a
віза	vʲ i z a
круты	k r u t ɨ
ездзіць	j e z d͡zʲ i t͡sʲ
тайна	t a j n a
агонь	a ɣ o nʲ
бурак	b u r a k
ганна	ɣ a nː a
абавязак	a b a vʲ a z a k
выбачайце	v ɨ b a t͡ʂ a j t͡sʲ e
чай	t͡ʂ a j
атмасфера	a t m a sʲ fʲ e r a
трое	t r o j e
сядзець	sʲ a d͡zʲ e t͡sʲ
сталіца	s t a lʲ i t͡s a
паўтарыць	p a u̯ t a r ɨ t͡sʲ
падручнік	p a d r u t͡ʂ nʲ i k
мара	m a r a
пясок	pʲ a s o k
пані	p a nʲ i
кхмерскі	k x mʲ e r s kʲ i
айцец	a j t͡sʲ e t͡s
цётка	t͡sʲ o t k a
чацьвер	t͡ʂ a t͡sʲ vʲ e r
цягнуць	t͡sʲ a ɣ n u t͡sʲ
радкевіч	r a t kʲ e vʲ i t͡ʂ
сена	sʲ e n a
мяжа	mʲ a ʐ a
дапамагаць	d a p a m a ɣ a t͡sʲ
бутэлька	b u t e lʲ k a
піць	pʲ i t͡sʲ
партрэт	p a r t r e t
відэа	vʲ i d e a
святлана	sʲ vʲ a t ɫ a n a
самалёт	s a m a lʲ o t
цырымонія	t͡s ɨ r ɨ m o nʲ i j a
незалежнасць	nʲ e z a lʲ e ʐ n a sʲ t͡sʲ
цеста	t͡sʲ e s t a
жар	ʐ a r
студэнт	s t u d e n t
вялізны	vʲ a lʲ i z n ɨ
ліхтар	lʲ i x t a r
капуста	k a p u s t a
поўнач	p o u̯ n a t͡ʂ
осла	o s ɫ a
лёд	lʲ o t
удзел	u d͡zʲ e ɫ
парадак	p a r a d a k
вясёлы	vʲ a sʲ o ɫ ɨ
купляць	k u p lʲ a t͡sʲ
паляк	p a lʲ a k
ніна	nʲ i n a
восем	v o sʲ e m
забастоўка	z a b a s t o u̯ k a
зорак	z o r a k
мовазнаўства	m o v a z n a u̯ s t v a
пэўны	p e u̯ n ɨ
