กด	k o t̚ ˨˩
คาเฟ่	kʰ aː ˧ f eː ˥˩
คำ	kʰ a m ˧
คำพ้องเสียง	kʰ a m ˧ pʰ ɔː ŋ ˦˥ s i a̯ ŋ ˩˩˦
คำสั่ง	kʰ a m ˧ s a ŋ ˨˩
คิง	kʰ i ŋ ˧
คิด	kʰ i t̚ ˦˥
คืน	kʰ ɯː n ˧
คุณธรรม	kʰ u n ˧ n a ˦˥ tʰ a m ˧
คุ้มครอง	kʰ u m ˦˥ kʰ r ɔː ŋ ˧
คูณ	kʰ uː n ˧
