adjö	a j øː
eskilstuna	ɛ̂ sː k ɪ l s t ʉː n a
ett	ɛ t
europé	ɛ r ʊ p eː
fabrik	f a b r iː k
fader	f ɑː d ɛ r
fallskärm	f a l ɧ ɛ r m
farlig	 f ɑː r l ɪ ɡ
februari	f ɛ b r ɵ ɑː r ɪ
fem	f ɛ m
femton	f ɛ m t ɔ n
fett	f ɛ t
ficka	f ɪ kː a
finger	f ɪ ŋː ɛ r
finska	 f ɪ n s k a
fisk	f ɪ s k
fiske	 f ɪ s k ɛ
fisken	f ɪ sː k ɛ n
fjol	f j uː l
flicka	f l ɪ kː a
flickan	f l ɪ kː a n
flickor	f l ɪ k ʊ r
folkmusik	 f ɔ l k m ɵ s iː k
fotboll	f uː t b ɔ l
fram	f r a m
framför	 f r a m f œː r
franska	 f r a n s k a
fred	f r eː d
frihet	f r iː h eː t
fru	f r ʉː
frukt	f r ɵ k t
främlingsfientlighet	 f r ɛ m l ɪ ŋ s f ɪ ɛ n t l ɪ ɡ h eː t
fråga	f r oː ɡ a
frånvaro	 f r oː n v ɑː r ʊ
frös	f r øː s
full	f ɵ l
fungera	f ɵ ŋ ɡ eː r a
fusk	f ɵ s k
fyr	f yː r
färg	f ɛ r j
färsk	f ɛ r s k
får	f oː r
fåtal	 f oː t ɑː l
förbruka	f œ r b r ʉː k a
förbundskapten	f œ r ² b ɵ n d s k a p t eː n
förena	f œ r eː n a
förening	f œ r eː n ɪ ŋ
förgäves	f œ r j ɛː v ɛ s
förrän	f œ r ɛ n
försiktighet	f øː r s ɪ k t ɪ ɡ h eː t
förstöra	f œ ʂ ʈ œː r a
försvarstal	f œ r ² s v ɑː r s t ɑː l
förvärras	f œ̞ r v æ r a s
förälder	f œ r ¹ ɛ l d æ r
förälskelse	f œ r ɛ l s k ɛ l s ɛ
gammal	 ɡ a mː a l
gav	ɡ ɑː v
ge	j eː
genren	ɧ a ŋ ɛ r n
georg	j eː ɔ r j
ger	j eː r
gjorde	j ʊ ɖ ɛ
gjort	j ʊ ʈ
gjuta	 j ʉː t a
glatt	ɡ l a tː
glögg	ɡ l œ ɡ
gott	ɡ ɔ t
green	ɡ r iː n
grej	ɡ r ɛ j
grekland	ɡ r eː k l a n d
grep	ɡ r eː p
gross	ɡ r ɔ s
grund	ɡ r ɵ n d
grät	ɡ r ɛː t
grön	ɡ r øː n
gud	ɡ ʉː d
gula	 ɡ ʉː l a
guld	ɡ ɵ l d
gym	j ʏ m
gärna	 j ɛː r n a
gävle	j ɛː v l ɛ
gång	ɡ ɔ ŋ
göran	j øː r a n
hade	 h a dː ɛ
haft	h a f t
hall	h a l
halv	h a l v
halvlek	 h a l v l eː k
hand	h a n d
hans	h ɑː n s
hantverk	h a n t v ɛ r k
har	h ɑː r
hat	h ɑː t
hav	h ɑː v
heat	h iː t
hej	h ɛ jː
hel	h eː l
helig	h eː l ɪ ɡ
helsingborg	h ɛ l s ɪ ŋ b ɔ r j
helsingfors	h ɛ l s ɪ ŋ f ɔ r s
hemester	h ɛ m ɛ s t ɛ r
hemmaplan	 h ɛ m a p l ɑː n
henne	h ɛ nː ɛ
herr	h ɛ r
heta	h eː t a
hitta	h ɪ t a
hjälp	j ɛ l p
holm	h ɔ l m ɛ
honom	h ɔ nː ɔ m
hoppa	h ɔ p a
hot	h uː t
hotell	h ʊ t ɛ lː
hud	h ʉː d
humle	h ɵ m l ɛ
hund	h ɵ n d
hundra	h ɵ n d r a
hungrig	h ɵ ŋ r ɪ ɡ
hur	h ʉː r
hus	h ʉː s
hustru	h ɵ̄ sː t r ʉ̂ː
hygglig	h ʏ ɡ l ɪ ɡ
hylla	h ʏ lː a
häl	h ɛː l
häll	h ɛ l
här	h æː r
härlig	h ɛː r l ɪ ɡ
hårt	h oː ʈ
hö	h øː
hög	h øː ɡ
höga	h øː ɡ a
högljudd	 h øː ɡ j ɵ d
höst	h œ s t
höstas	 h œ s t a s
idrott	 iː d r ɔ t
igelkott	iː ɡ ɛ l k ɔ t
ihjäl	ɪ j ɛː l
ihop	ɪ h uː p
inga	 ɪ ŋ a
ingenting	ɪ ŋ ɛ n tʰ ɪ ŋ
inger	 ɪ n j eː r
innan	 ɪ n a n
insjukna	 ɪ n ɧ ʉː k n a
inte	 ɪ n t ɛ
internationell	ɪ n t ɛ r n a t ɧ ʊ n ɛ l
intryck	ɪ n t r ʏ kː
is	iː s
italien	ɪ t ɒː l ɪ ə n
jag	j ɑː ɡ
januari	j a n ɵ ɑː r ɪ
japanska	j a p ɑː n s k a
jasmine	ɧ a s m iː n
jason	j ɑː s ɔ n
jennie	¹ j ɛ n ɪ
jonsson	j ʊ n s ɔ n
jonte	 j ɔ n t ɛ
jord	j uː r d
jorden	j uː r d ɛ n
journal	ɧ ʊ ɳ ɑː l
journalist	ɧ ʊ r n a l ɪ s t
juice	j uː s
jul	j ʉː l
juli	j ʉː l ɪ
juni	j ʉː n ɪ
jupiter	j ʉː p ɪ t ɛ r
järv	j æ r v
kajak	k a j ɑː k
kalifornien	k a l ɪ f uː r n ɪ ɛ n
kall	k a l
kalla	 k a lː a
kalle	 k a l ɛ
kamera	k ɑː m ɛ r a
kan	k a nː
kanske	 k a n ɧ ɛ
karta	k ɑː r t a
katarina	k a t a ² r iː n a
katt	k a tː
kemi	ɕ ɛ m iː
kil	ɕ iː l
kilometer	ɕ ɪ l ʊ m eː t ɛ r
kina	 ɕ iː n a
kläder	k l ɛː d ɛ r
knarka	k n a r k a
kniv	k n iː v
knut	k n ʉː t
knä	k n ɛː
kol	k oː l
kolla	k ɔ l a
kom	k ɔ m
komma	 k ɔ m a
kompis	¹ k ɔ m p ɪ s
konspirationsteoretiker	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r eː t ɪ k ɛ r
konspirationsteori	k ɔ n s p ɪ r a ² ɧ uː n s t ɛ ʊ r iː
konst	k ɔ nː s t
konsumtion	k ɔ n s ɵ m ɧ uː n
kontrast	k ʊ n t r a s t
kor	k uː r
kraftfull	k r a f t f ɵ l
krav	k ɾ ɑː v
krig	k r iː ɡ
kristina	k r ɪ ² s t iː n a
krona	k r uː n a
kropp	k r ɔ pː
krut	k r ʉː t
kul	k ʉː l
kull	k ɵ l
kunde	k ɵ n d ə
kungsfiskare	k ɵ ŋ s f ɪ s k a r ɛ
kurs	k ʉː r s
kvalitet	k v a l ɪ t eː
kvar	k v ɑː r
kvarter	k v a r t eː r
kvinna	k v ɪ nː a
kvinnan	k v ɪ nː a n
kvinnor	k v ɪ nː ʊ r
kväll	k v ɛ lː
käka	 ɕ ɛː k a
källa	ɕ ɛ l a
känd	ɕ ɛ n d
känna	ɕ ɛ n n a
känt	ɕ ɛ n t
kär	ɕ ɛː r
kära	ɕ ɛː r a
kärlek	ɕ ɛː r l eː k
kål	k oː l
kår	k oː r
kö	k øː
kök	ɕ øː k
köl	ɕ øː l
köp	ɕ øː p
köpa	ɕ øː p a
köpenhamn	ɕ øː p ɛ n h a m n
laboratorium	l a b ʊ r a t uː r ɪ ɵ m
lade	l ɑː d ɛ
lag	l ɑː ɡ
lager	l ɑː ɡ ɛ r
lagt	l a k t
lagts	l a k t s
lappuggla	l a p ɵ ɡ l a
lax	l a k s
leende	l eː ɛ n d ɛ
legitim	l ɛ ɡ ɪ t iː m
leif	l ɛ j f
lev	l eː v
linnéa	l ɪ ² n eː a
lita	l iː t a
liv	l iː v
ljud	j ʉː d
ljungby	 j ɵ ŋ b ʏ
ljus	j ʉː s
london	l ɔ n d ɔ n
lopp	l ɔ pː
lugn	l ɵ ŋ n
lunch	l ɵ n ɧ
lund	l ɵ n d
lycklig	l ʏ kː l ɪ ɡ
lyssna	 l ʏ s n a
läcka	l ɛ k a
läger	l ɛː ɡ ɛ r
lägga	 l ɛ ɡ a
län	l ɛː n
länge	l ɛ ŋ ɛ
längs	l ɛ ŋ s
lär	l ɛː r
lära	l æː r a
läs	l ɛː s
läsa	l ɛː s a
läser	l ɛ s ɛ r
lätt	l ɛ t
låg	l oː ɡ
långsam	 l ɔ ŋ s a m
långt	l ɔ ŋ t
låt	l oː t
låta	 l oː t a
lön	l øː n
löpa	l øː p a
lördag	l øː r d ɑː ɡ
lös	l øː s
lösa	 l øː s a
mage	 m ɑː ɡ ɛ
magnus	¹ m a ŋ n ɵ s
maj	m a j
malmö	m a l m øː
malte	 m a l t ɛ
mannen	m a nː ɛ n
margareta	m a r ɡ a ² r eː t a
marika	m a ² r iː k a
maskin	m a ɧ iː n
mat	m ɑː t
matchfixning	 m a t͡ɕ f ɪ k s n ɪ ŋ
mattias	m a t iː a s
medarbetare	m eː d a r b eː t a r ɛ
meddela	m eː d d e l a
meddelande	m eː d d eː l a n d ɛ
meny	m ɛ n yː
mer	m eː r
meter	m eː t ɛ r
mikael	m iː k aː e l
miljard	m ɪ l j ɑː ɖ
miljon	m ɪ l j uː n
miljö	m ɪ l j øː
min	m iː n
mitt	m ɪ tː
mittemot	m ɪ tˑ e m uː t
mod	m uː d
mor	m uː r
morse	 m ɔ r s e
moskva	m ʊ s k v ɑː
mot	m uː t
museer	m ɵ s eː ɛ r
museum	m ɵ s eː ɵ m
musik	m ʉ s iː k
mycket	m ʏ k ɛ t
mystisk	m ʏ s t ɪ s k
mäktig	 m ɛ k t ɪ ɡ
män	m ɛ n
människa	m ɛ nː ɪ ɧ a
mänsklig	 m ɛ n s k l ɪ ɡ
mästerskap	 m ɛ s t e r s k ɑː p
mäta	m ɛː t a
mål	m oː l
mög	m øː ɡ
möjlig	 m œ j l ɪ ɡ
mötesplats	 m øː t ɛ s p l a t s
nacka	 n a k a
nationell	n a t ɧ ʊ n ɛ l
natt	n a tː
nederländerna	 n e d ɛ r l ɛ n d ɛ ɲ a
nej	n ɛ j
nellie	¹ n ɛ l ɪ
ner	n eː r
nobben	n ɔ b ɛ n
nordkorea	 n uː ɖ k ʊ r eː a
norge	n ɔ r j ɛ
norr	n ɔ rː
norska	 n ɔ ʂ k a
not	n uː t
november	n ʊ v ɛ m b ɛ r
nummer	¹ n ɵ m ɛ r
ny	n yː
nya	 n yː a
nyckel	 n ʏ k ɛ l
nyss	n ʏ s
nyttig	 n ʏ t ɪ ɡ
näsa	n ɛː s a
nätter	n ɛ tː ə r
nå	n oː
nått	n ɔ t
nödvändig	n øː d v ɛ n d ɪ ɡ
objekt	ɔ b j ɛ k t
offside	ɔ f s a j d
ogilla	 uː j ɪ l a
oklar	uː k l ɑː r
om	ɔ m
omöjlig	 uː m ø j l ɪ ɡ
ord	uː r d
order	ɔ r d ɛ r
ordning	ɔ r d n ɪ ŋ
orientering	ɔ r j ɛ n ¹ t eː r ɪ ŋ
orka	ɔ r k a
oskar	¹ ɔ s k a r
oss	ɔ s
osäker	uː s ɛː k ɛ r
paket	p a k eː t
papper	 p a pː ɛ r
paris	p a r iː s
part	p ɑː ʈ
passagerare	p a s a ² ɧ eː r a r ɛ
paus	p a ʊ̯ s
pension	p a n ɧ uː n
pep	p eː p
period	p ɛ rː j uː d
person	p ɛ r s uː n
personlig	p ɛ ʂ oː n l ɪ ɡ
personligen	p ɛ r s uː n l ɪ ɡ ɛ n
piper	p iː p ɛ r
platt	p l a tː
podd	p ɔ d
pojke	 p ɔ j k ɛ
pokal	p ʊ k ɑː l
politik	p ʊ l ɪ t iː k
prata	p r ɑː t a
present	p r e s e n t
pressmeddelande	 p r ɛ s m eː d eː l a n d ɛ
princip	p r ɪ n s iː p
pris	p r iː s
problem	p r ʊ b l eː m
procent	p r ʊ s ɛ n t
process	p r ʊ s ɛ s
prognos	p r ɔ ɡ n oː s
pröva	p r øː v a
punkt	p ɵ ŋ k t
på	p oː
regering	r ɛ j eː r ɪ ŋ
regissör	r ɛ ɧ ɪ s øː r
regn	r ɛ ŋ n
rejäl	r ɛ j ɛː l
reklam	r ɛ k l ɑː m
relation	r ɛ l a ɧ uː n
religiös	r ɛ l ɪ ɧ øː s
rent	r eː n t
resultat	r ɛ s ɵ l t ɑː t
rik	r iː k
rulle	 r ɵ l ɛ
rum	r ɵ m
ryska	 r ʏ s k a
ryttare	r ʏ t a r e
rå	r oː
råd	r oː d
rån	r oː n
rökning	 r øː k n ɪ ŋ
sabotage	s a b ʊ t ɑː ɧ
sade	s ɑː d ɛ
sagt	s a k t
sak	s ɑː k
sakna	s ɑː k n a
samling	 s a m l ɪ ŋ
samt	s a m t
schack	ɧ a k
schlager	ɧ l ɑː ɡ e r
schweiz	ʂ v ɛ jː t s
seg	s eː ɡ
seger	s eː ɡ ɛ r
semester	s ɛ m ɛ s t ɛ r
sent	s eː n t
september	s ɛ p t ɛ m b ɛ r
sevilla	s ɛ v iː a
silver	s ɪ l v ɛ r
simma	 s ɪ m a
sitt	s ɪ tː
sitta	 s ɪ t a
sju	ɧ ʉː
sjuda	ɧ ʉː d a
sjuk	ɧ ʉː k
sjuka	 ɧ ʉː k a
sjukdom	 ɧ ʉː k d ʊ m
sjukhus	 ɧ ʉː k h ʉː s
sjuksköterska	 ɧ ʉː k ɧ øː t ɛ r s k a
sjunde	ɧ ɵ n d ɛ
sjunga	 ɧ ɵ ŋ a
sjutton	ɧ ɵ t ɔ n
själ	ɧ ɛː l
självklar	 ɧ ɛ l v k l ɑː r
sjätte	ɧ ɛ t ɛ
sjön	ɧ œ n
skapa	s k ɑː p a
ske	ɧ eː
skicka	ɧ ɪ k a
skilja	 ɧ ɪ l j a
skillnad	ɧ ɪ l n a d
skit	ɧ iː t
skjuta	 ɧ ʉː t a
skola	 s k uː l a
skottland	s k ɔ t l a n d
skrik	s k r iː k
skriva	s k r iː v a
skulle	s k ɵ lː ə
skydd	ɧ ʏ d
skyhög	ɧ ỳː h øː ɡ
skytt	ɧ ʏ t
skäl	ɧ ɛː l
skämt	ɧ ɛ m t
skänka	 ɧ ɛ ŋ k a
skära	ɧ æː r a
skärpa	 ɧ æ r p a
sköld	ɧ œ l d
skön	ɧ øː n
slagsmål	s l a k s m oː l
slog	s l uː ɡ
släkt	s l ɛ k t
slät	s l ɛː t
slå	s l oː
små	s m oː
snabb	s n a b
snabbt	s n a p t
snacka	 s n a kː a
snart	s n ɑː ʈ
snälla	s n ɛ lː a
snö	s n øː
solna	 s oː l n a
som	s ɔ m
sommar	s ɔ mː a r
sommartid	s ɔ m a r t iː d
somras	 s ɔ m r a s
soppa	s ɔ p a
sorg	s ɔ r j
sova	 s oː v a
spanska	 s p a n s k a
spara	s p ɑː r a
spel	s p eː l
spelar	s p eː l a r
språk	s p r oː k
stab	s t ɑː b
stadig	s t ɑː d ɪ ɡ
stal	s t ɑː l
stel	s t eː l
stjäl	ɧ ɛː l
stjäla	ɧ ɛː l a
storm	s t ɔ r m
student	s t ɵ d ɛ n t
stuga	 s t ʉ̟ː ɡ a
stulit	s t ʉː l ɪ t
ställningstagande	 s t ɛ l n ɪ ŋ s t ɑː ɡ a n d ɛ
stål	s t oː l
stöd	s t øː d
störa	 s t œː r a
sundsvall	s ɵ nː d s v a l
svag	s v ɑː ɡ
svar	s v ɑː r
svara	s v ɑː r a
svart	¹ s v a r t
svensk	s v ɛ nː s k
svenska	 s v ɛ n s k a
sverige	¹ s v ɛ r j ɛ
svåger	s v oː ɡ ə r
syd	s yː d
sydkorea	 s yː d k ʊ r eː a
syl	s yː l
syra	s yː r a
syster	s ʏ sː t ɛ r
säga	s ɛ jː a
sälja	s ɛ lː j a
särskild	 s ɛː r ɧ ɪ l d
sätt	s ɛ tː
så	s oː
sång	s ɔ ŋː
söder	s øː d ə r
södertälje	s œ d ɛ ʈ ɛ lː j ɛ
tack	t a k
tag	t ɑː ɡ
tak	t ɑː k
tanke	 t a ŋː k ɛ
teori	t ɛ ʊ r iː
therese	t ɛ r eː s
thunberg	t ʉ̂ː n b æ r j
tid	t iː d
tidning	 t iː n ɪ ŋ
tiger	¹ t iː ɡ ɛ r
till	t ɪ l
tillbaka	t ɪ l b ɑː k a
tillförordnad	 t ɪ l f œː r oː r d n a d
tillhandahålla	t ɪ l ² h a n d a h ɔ l a
tionde	t iː ɔ n d ɛ
tjej	ɕ ɛ j
tobak	t uː b a k
tofflor	t ɔ f l ʊ ɹ
tog	t uː ɡ
tok	t uː k
tolfte	t ɔ l f t ɛ
tolv	t ɔ l v
tor	t uː r
torg	t ɔ r j
total	t ʊ t ɑː l
tredje	t r eː d j ɛ
tro	t r uː
tror	t r uː r
trä	t r ɛː
träd	t r ɛː d
tråd	t r oː d
tuff	t ɵ f
tusen	t ʉː s ɛ n
tvivla	t v iː v l a
tvärtom	t v ɛː ʈ ɔ m
två	t v oː
tycka	t ʏ k a
tyska	 t ʏ s k a
tyskland	t ʏ s k l a n d
tyst	t ʏ sː t
täcke	 t ɛ kː ɛ
täckt	t ɛ k t
tända	 t ɛ n d a
tänkte	t ɛ ŋ k t ɛ
tå	t oː
tåg	t oː ɡ
ugn	ɵ ŋ n
ukulele	ɵ k ɵ l eː l ɛ
ulla	 ɵ l a
under	ɵ n d ɛ r
universitet	ɵ n ɪ v ɛ ʂ ɪ t eː t
upp	ɵ p
uppträda	ɵ pː t r ɛː d a
uppvisning	 ɵ p v iː s n ɪ ŋ
ur	ʉː r
ut	ʉː t
utan	ʉː t a n
utgång	ʉː t ɡ ɔ ŋ
utom	 ʉ̟ː t ɔ m
uttryck	ʉː t t r ʏ kː
vaccin	v a k s iː n
vacker	v a k ɛ r
vandrare	v a n d r a r ɛ
vann	v a n
vapen	¹ v ɑː p ɛ n
var	v ɑː ɾ
varandra	v a r a n d r a
varg	v a r j
varken	v a r k ɛ n
varm	v a r m
varmt	v a r m t
vasa	v a s ɑː
vass	v a s
vatten	v ǎ t ɛ n
vattnet	v a tː n ɛ t
vecka	 v ɛ k a
verk	v æ r k
verka	v ɛ r k a
veta	 v eː t a
vikt	v iː k t
vilja	 v ɪ lː j a
vill	v ɪ l
ville	v ɪ lː ɛ
vind	v ɪ n d
vinter	v ɪ n t ɛ r
vintertid	v ɪ n t ɛ r t iː d
vintras	 v ɪ n t r a s
vit	v iː t
vred	v r eː d
vuxen	v ɵ k s ɛ n
väcka	 v ɛ k a
väg	v ɛː ɡ
vägg	v ɛ ɡ
vägra	 v ɛː ɡ r a
välja	 v ɛ lː j a
välkommen	 v ɛː l k ɔ mː ɛ n
vänta	 v ɛ nː t a
väntan	 v ɛ n t a n
värd	v ɛː ɖ
värden	v æː ɖ ɛ n
värdighet	 v ɛː r d ɪ ɡ h eː t
världens	v æː ɖ ɛ n s
värva	 v æ r v a
väster	v ɛ sː t ə r
västerås	ʋ ɛ s t ɛ r oː s
väte	v ɛː t ɛ
växjö	v ɛ kː ɧ øː
våg	v oː ɡ
vår	v oː r
våras	 v oː r a s
vård	v oː ɖ
våt	v oː t
äga	 ɛː ɡ a
äldre	ɛ l d r ɛ
äldst	ɛ l s t
än	ɛ nː
ända	ɛ n d a
ära	 æː r a
ärlig	æː ɭ ɪ ɡ
äter	ɛː t ɘ r
år	oː r
årlig	 oː ɭ ɪ ɡ
åsikt	oː s ɪ k t
åstadkomma	 oː s t a k ɔ m a
åt	oː t
åtta	 ɔ tː a
öga	øː ɡ a
öl	øː l
ön	øː n
öppen	 œ p ɛ n
öster	œ sː t ə r
östersjön	 ø sː t ɛ r ɧ ø n
östersund	œ s t ɛ r s ɵ n d
över	øː v æ r
överflöd	øː v ɛ r f l øː d
