abair	a bˠ ə ɾʲ
ormsa	ɔ ɾˠ ə mˠ sˠ ə
ort	ɔ ɾˠ t̪ˠ
ortsa	ɔ ɾˠ t̪ˠ sˠ ə
patrún	pˠ ɑ t̪ˠ ɾˠ uː nˠ
peadar	pʲ a d̪ˠ ə ɾˠ
pearsa	pʲ a ɾˠ sˠ ə
pheadair	fʲ a d̪ˠ ə ɾʲ
phearsa	fʲ a ɾˠ sˠ ə
phian	fʲ i ə nˠ
pháirc	fˠ aː ɾʲ c
pháirt	fˠ ɑː ɾˠ tʲ
pianó	pʲ i a nˠ oː
pionta	pʲ ɪ n̪ˠ t̪ˠ ə
pionós	pʲ ɨ̞ n u s
plaisteach	pˠ lˠ a ʃ tʲ ə x
plean	pʲ lʲ a nˠ
plé	pʲ lʲ eː
polainnis	pˠ ɔ l̪ˠ ə n̠ʲ ɪ ʃ
polaitíocht	pˠ ɔ lˠ ə tʲ i ə x t̪ˠ
pota	pˠ ɔ t̪ˠ ə
praghas	p ɾˠ ə i sˠ
príosún	pʲ ɾʲ iː sˠ uː n̪ˠ
puball	pˠ ʊ bˠ ə l̪ˠ
punta	pˠ ʊ n̪ˠ t̪ˠ ə
páirc	pˠ aː ɾʲ c
páirt	pˠ ɑː ɾˠ tʲ
péin	pʲ eː nʲ
péire	pʲ eː ɾʲ ə
rann	ɾˠ a nˠ
rialta	ɾˠ i ə l̪ˠ t̪ˠ ə
rialtais	ɾˠ i ə l̪ˠ t̪ˠ ə ʃ
rialtas	ɾˠ i ə l̪ˠ t̪ˠ ə sˠ
rinne	ɾˠ ɪ n̠ʲ ə
rinneamar	ɾˠ ɪ n̠ʲ ə mˠ ə ɾˠ
risteard	ɾˠ ɪ ʃ tʲ ɑː ɾˠ d̪ˠ
rogha	ɾˠ o u
roghanna	ɾˠ o u n̪ˠ ə
roimh	ɾˠ ɪ vʲ
roimhe	ɾˠ ɪ vʲ ə
ros	ɾˠ ɔ sˠ
rua	ɾˠ u ə
rá	ɾˠ ɑː
ráite	ɾˠ ɑː tʲ ə
ré	rˠ eː
réad	ɾˠ eː d̪ˠ
réalta	ɾˠ eː l̪ˠ t̪ˠ ə
réim	ɾˠ eː mʲ
réir	ɾˠ eː ɾʲ
rí	ɾˠ iː
ríomhaire	ɾˠ iː vˠ ə ɾʲ ə
rís	ɾʲ iː ʃ
róis	ɾˠ oː ʃ
ról	ɾˠ oː lˠ
rúin	ɾˠ uː nʲ
rúis	ɾˠ uː ʃ
rún	ɾˠ uː nˠ
rúnda	ɾˠ uː n̪ˠ d̪ˠ ə
sadhbh	sˠ ə i̯ vˠ
saghas	sˠ ə i sˠ
saibhir	sˠ ɛ vʲ ə ɾʲ
saibhreas	sˠ ɛ vʲ ə ɾʲ ə sˠ
salainn	s a lˠ ə n̠ʲ
samhlaigh	sˠ ə u l̪ˠ ə
saoire	sˠ iː ɾʲ ə
saothrú	sˠ iː ɾˠ uː
sasana	sˠ a sˠ ə nˠ ə
sasanach	sˠ a sˠ ə nˠ ə x
scairt	sˠ k a ɾˠ tʲ
scaití	sˠ k a tʲ iː
scannán	sˠ k ə n̪ˠ aː n̪ˠ
sceideal	ʃ c ɛ dʲ ə lˠ
sciobtha	ʃ c ʊ pˠ iː
scoil	sˠ k ɔ lʲ
scoitheadh	s k a h u
scoláire	sˠ kˠ oː lˠ ɑː ɾʲ ə
scornach	sˠ k ɔː ɾˠ n̪ˠ a x
scoth	s k ɔ h
scréach	ʃ c ɾʲ eː x
scríobhaim	s c ɾʲ iː mʲ
scríofa	ʃ c ɾʲ iː fˠ ə
scáileán	sˠ k ɑː lʲ ɑː nˠ
scéala	ʃ c eː lˠ ə
scíth	ʃ c iː
sea	ʃ a
seach	ʃ a x
seachtain	ʃ a x t̪ˠ ə nʲ
seasca	ʃ a sˠ k ə
seic	ʃ ɛ c
seift	ʃ ɛ fʲ tʲ
seilbh	ʃ ɛ lʲ ə vʲ
seisear	ʃ ɛ ʃ ə ɾˠ
seo	ʃ ɔ
seoirse	ʃ oː ɾˠ ʃ ə
seó	ʃ oː
sheisear	h ɛ ʃ ə ɾˠ
shín	h iː nʲ
siadsan	ʃ i ə d̪ˠ s ə nˠ
siar	ʃ i ə ɾˠ
sine	ʃ i nʲ ə
siobhán	ʃ ʊ w aː n̪ˠ
sir	ʃ ɪ ɾʲ
sise	ʃ ɪ ʃ ə
siúd	ʃ uː d̪ˠ
siúil	ʃ uː lʲ
siúl	ʃ uː l̪ˠ
siúlta	ʃ uː l̪ˠ t̪ˠ ə
slat	sˠ l̪ˠ a t̪ˠ
smaoinigh	sˠ mˠ iː nʲ ə
smior	sˠ mʲ ɪ ɾ
soc	sˠ ɔ k
soicind	sˠ ɛ c ə nʲ dʲ
soir	sˠ ɛ ɾʲ
sona	sˠ ʊ n̪ˠ ə
spraoi	sˠ pˠ ɾˠ iː
spreag	sˠ pʲ ɾʲ a ɡ
spéir	s pʲ eː ɾʲ
srian	sˠ ɾˠ i ə nˠ
sruth	sˠ ɾˠ ʊ h
sráide	sˠ ɾˠ aː dʲ ə
stad	sˠ t̪ˠ a d̪ˠ
staighre	sˠ t̪ˠ ə i ɾʲ ə
stiúideo	ʃ tʲ uː dʲ i oː
strainséara	sˠ t̪ˠ ɾˠ æː nʲ ʃ eː ɾˠ ə
stáisiún	sˠ t̪ˠ aː ʃ uː n̪ˠ
stócáil	sˠ t̪ˠ oː k ɑː lʲ
suarach	sˠ uˑ ə ɾˠ ə x
