аби	ɐ b ɪ
зустріч	z u s tʲ rʲ i t͡ʃ
зустрічей	z u s tʲ rʲ i t͡ʃ e i̯
зустрічі	z u s tʲ rʲ i t͡ʃʲ i
зірка	zʲ i r k ɐ
його	j ɔ ɦ ɔ
йогурт	j ɔ ɦ ʊ r t
кабінет	k ɐ bʲ i n ɛ t
календаря	k ɐ ɫ e n d ɐ rʲ ɑ
картина	k ɐ r t ɪ n ɐ
катерина	k ɐ t e r ɪ n ɐ
керівництво	k e rʲ i u̯ n ɪ t͡s t w ɔ
ким	k ɪ m
кипіти	k e pʲ i t e
китай	k e t ɑ i̯
києвом	k ɪ j e w ɔ m
києві	k ɪ j e ʋʲ i
київ	k ɪ j i u̯
київський	k ɪ j i u̯ sʲ k e i̯
клуб	k ɫ u b
книга	k n ɪ ɦ ɐ
книжка	k n ɪ ʒ k ɐ
кодекс	k ɔ d e k s
кожен	k ɔ ʒ e n
кожного	k ɔ ʒ n ɔ ɦ ɔ
козаків	k ɔ z ɐ kʲ i u̯
коли	k ɔ ɫ ɪ
колишній	k ɔ ɫ ɪ ʃ nʲ i i̯
колумбія	k o ɫ u m bʲ i j ɐ
команда	k ɔ m ɑ n d ɐ
компанія	k ɔ m p ɑ nʲ i j ɐ
комісія	k o mʲ i sʲ i j ɐ
комітет	k ɔ mʲ i t ɛ t
контроль	k ɔ n t r ɔ lʲ
коронавірус	k ɔ r ɔ n ɐ ʋʲ i r ʊ s
коріння	k o rʲ i nʲː ɐ
кохати	k ɔ x ɑ t e
кращий	k r ɑ ʃ t͡ʃ e i̯
критеріїв	k r e t ɛ rʲ i j i u̯
крім	k rʲ i m
кріп	k rʲ i p
купувати	k ʊ p ʊ ʋ ɑ t e
кількісний	kʲ i lʲ kʲ i s n e i̯
кількість	kʲ i lʲ kʲ i sʲ tʲ
кінець	kʲ i n ɛ t͡sʲ
лабораторний	ɫ ɐ b ɔ r ɐ t ɔ r n e i̯
лавка	ɫ ɑ u̯ k ɐ
лев	ɫ ɛ u̯
легендарний	ɫ e ɦ e n d ɑ r n e i̯
легко	ɫ ɛ ɦ k ɔ
листя	ɫ ɪ sʲ tʲ ɐ
лише	ɫ e ʃ ɛ
лівий	lʲ i ʋ e i̯
лідер	lʲ i d e r
ліжко	lʲ i ʒ k ɔ
лікарні	lʲ i k ɑ r nʲ i
ліки	lʲ i k e
майбутнє	m ɐ i̯ b u tʲ nʲ e
майже	m ɑ i̯ ʒ e
максим	m ɐ k s ɪ m
мало	m ɑ ɫ ɔ
маріуполь	m ɐ rʲ i u p ɔ lʲ
марія	m ɐ rʲ i j ɐ
мати	m ɑ t e
матч	m ɑ t͡ʃː
машина	m ɐ ʃ ɪ n ɐ
мелодій	m e ɫ ɔ dʲ i i̯
мене	m e n ɛ
менше	m ɛ n ʃ e
мені	m e nʲ i
метеорит	m e t e ɔ r ɪ t
метрів	m ɛ tʲ rʲ i u̯
мешканець	m ɛ ʃ k ɐ n e t͡sʲ
модель	m ɔ d ɛ lʲ
можливість	m ɔ ʒ ɫ ɪ ʋʲ i sʲ tʲ
можна	m ɔ ʒ n ɐ
молоко	m ɔ ɫ ɔ k ɔ
момент	m ɔ m ɛ n t
моя	m ɔ j ɑ
мої	m ɔ j i
музей	m ʊ z ɛ i̯
мій	mʲ i i̯
міністерство	mʲ i nʲ i s t ɛ r s t w ɔ
місце	mʲ i s t͡s e
місцевий	mʲ i s t͡s ɛ ʋ e i̯
міський	mʲ i sʲ k ɪ i̯
місяць	mʲ i sʲ ɐ t͡sʲ
міф	mʲ i f
набагато	n ɐ b ɐ ɦ ɑ t ɔ
навчання	n ɐ u̯ t͡ʃ ɑ nʲː ɐ
навіть	n ɑ ʋʲ i tʲ
надавати	n ɐ d ɐ ʋ ɑ t e
надати	n ɐ d ɑ t e
називати	n ɐ z e ʋ ɑ t e
найбільш	n ɐ i̯ bʲ i lʲ ʃ
найбільше	n ɐ i̯ bʲ i lʲ ʃ e
нам	n ɑ m
наміри	n ɑ mʲ i r e
напередодні	n ɐ p e r e d ɔ dʲ nʲ i
направити	n ɐ p r ɑ ʋ e t e
наприклад	n ɐ p r ɪ k ɫ ɐ d
наразі	n ɐ r ɑ zʲ i
нарешті	n ɐ r ɛ ʃ tʲ i
народження	n ɐ r ɔ d͡ʒ e nʲː ɐ
народний	n ɐ r ɔ d n e i̯
насамперед	n ɐ s ɑ m p e r e d
населення	n ɐ s ɛ ɫ e nʲː ɐ
насильство	n ɐ s ɪ lʲ s t w ɔ
насправді	n ɐ s p r ɑ u̯ dʲ i
наступного	n ɐ s t u p n ɔ ɦ ɔ
насіння	n ɐ sʲ i nʲː ɐ
наук	n ɐ u k
наші	n ɑ ʃʲ i
наявність	n ɐ j ɑ u̯ nʲ i sʲ tʲ
небезпеки	n e b e z p ɛ k e
недостатньо	n e d ɔ s t ɑ tʲ nʲ ɔ
незалежності	n e z ɐ ɫ ɛ ʒ n ɔ sʲ tʲ i
неподалік	n e p ɔ d ɐ lʲ i k
нерв	n ɛ r ʋ
неї	n ɛ j i
нині	n ɪ nʲ i
них	n ɪ x
новий	n ɔ ʋ ɪ i̯
номер	n ɔ m e r
нього	nʲ ɔ ɦ ɔ
ні	nʲ i
ніздрі	nʲ i z dʲ rʲ i
ній	nʲ i i̯
ніколи	nʲ i k ɔ ɫ e
ніч	nʲ i t͡ʃ
обговорення	ɔ b ɦ ɔ w ɔ r e nʲː ɐ
обережно	ɔ b e r ɛ ʒ n ɔ
область	ɔ b ɫ ɐ sʲ tʲ
обличчя	ɔ b ɫ ɪ t͡ʃʲː ɐ
обмін	ɔ b mʲ i n
обов'язок	ɔ b ɔ ʋ j ɐ z ɔ k
обрати	ɔ b r ɑ t e
огайо	ɔ ɦ ɑ j ɔ
один	ɔ d ɪ n
окремий	ɔ k r ɛ m e i̯
окрім	o k rʲ i m
олег	ɔ ɫ ɛ ɦ
олександр	ɔ ɫ e k s ɑ n d r
олена	ɔ ɫ ɛ n ɐ
операція	ɔ p e r ɑ t͡sʲ i j ɐ
опозиція	ɔ p ɔ z ɪ t͡sʲ i j ɐ
опір	ɔ pʲ i r
організація	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j ɐ
організації	ɔ r ɦ ɐ nʲ i z ɑ t͡sʲ i j i
організм	ɔ r ɦ ɐ nʲ i z m
організований	ɔ r ɦ ɐ nʲ i z ɔ ʋ ɐ n e i̯
особисто	ɔ s ɔ b ɪ s t ɔ
особливо	ɔ s ɔ b ɫ ɪ w ɔ
останній	ɔ s t ɑ nʲː i i̯
ось	ɔ sʲ
отвір	ɔ tʲ ʋʲ i r
отже	ɔ d ʒ e
отримати	ɔ t r ɪ m ɐ t e
отримувати	ɔ t r ɪ m ʊ ʋ ɐ t e
оцінити	ɔ t͡sʲ i n ɪ t e
п'ять	p j ɑ tʲ
пасажирка	p ɐ s ɐ ʒ ɪ r k ɐ
паспорт	p ɑ s p ɔ r t
пекло	p ɛ k ɫ ɔ
переважно	p e r e ʋ ɑ ʒ n ɔ
перевантаження	p e r e ʋ ɐ n t ɑ ʒ e nʲː ɐ
переговори	p e r e ɦ ɔ w ɔ r e
передова	p e r e d ɔ ʋ ɑ
перекласти	p e r e k ɫ ɑ s t e
перехід	p e r e xʲ i d
перше	p ɛ r ʃ e
перший	p ɛ r ʃ e i̯
першого	p ɛ r ʃ ɔ ɦ ɔ
пиво	p ɪ w ɔ
питання	p e t ɑ nʲː ɐ
пити	p ɪ t e
платити	p ɫ ɐ t ɪ t e
площа	p ɫ ɔ ʃ t͡ʃ ɐ
побачити	p ɔ b ɑ t͡ʃ e t e
повідомити	p ɔ ʋʲ i d ɔ m e t e
повідомлення	p ɔ ʋʲ i d ɔ m ɫ e nʲː ɐ
повісити	p ɔ ʋʲ i s e t e
повітря	p ɔ ʋʲ i tʲ rʲ ɐ
погано	p ɔ ɦ ɑ n ɔ
подивитися	p ɔ d e ʋ ɪ t e sʲ ɐ
подорож	p ɔ d ɔ r ɔ ʒ
подробиці	p ɔ d r ɔ b e t͡sʲ i
подія	p o dʲ i j ɐ
поза	p ɔ z ɐ
позитивний	p ɔ z e t ɪ u̯ n e i̯
позитивно	p ɔ z e t ɪ u̯ n ɔ
показати	p ɔ k ɐ z ɑ t e
показник	p ɔ k ɑ z n e k
покоління	p ɔ k o lʲ i nʲː ɐ
покриття	p ɔ k r e tʲː ɑ
положення	p ɔ ɫ ɔ ʒ e nʲː ɐ
поліцію	p o lʲ i t͡sʲ i j ʊ
поліція	p o lʲ i t͡sʲ i j ɐ
поліції	p o lʲ i t͡sʲ i j i
понеділок	p ɔ n e dʲ i ɫ ɔ k
попросити	p ɔ p r ɔ s ɪ t e
популярний	p ɔ p ʊ lʲ ɑ r n e i̯
популяція	p ɔ p ʊ lʲ ɑ t͡sʲ i j ɐ
породілля	p ɔ r o dʲ i lʲː ɐ
порошенко	p ɔ r ɔ ʃ ɛ n k ɔ
порядок	p ɔ rʲ ɑ d ɔ k
порівнювати	p o rʲ i u̯ nʲ ʊ ʋ ɐ t e
посилити	p ɔ s ɪ ɫ e t e
посол	p ɔ s ɔ ɫ
постанова	p ɔ s t ɐ n ɔ ʋ ɐ
постати	p ɔ s t ɑ t e
постаті	p ɔ s t ɐ tʲ i
постачання	p ɔ s t ɐ t͡ʃ ɑ nʲː ɐ
поступово	p ɔ s t ʊ p ɔ w ɔ
постійно	p o sʲ tʲ i i̯ n ɔ
потужний	p o t u ʒ n e i̯
потік	p o tʲ i k
потім	p ɔ tʲ i m
почути	p o t͡ʃ u t e
пошук	p ɔ ʃ ʊ k
поїхати	p ɔ j i x ɐ t e
прав	p r ɑ u̯
правда	p r ɑ u̯ d ɐ
право	p r ɑ w ɔ
працівники	p r ɐ t͡sʲ i u̯ n e k ɪ
працівників	p r ɐ t͡sʲ i u̯ n e kʲ i u̯
представник	p r e d͡z s t ɐ u̯ n ɪ k
президент	p r e z e d ɛ n t
прекрасний	p r e k r ɑ s n e i̯
приблизно	p r e b ɫ ɪ z n ɔ
привабити	p r e ʋ ɑ b e t e
прийняття	p r e i̯ nʲ ɐ tʲː ɑ
прийти	p r e i̯ t ɪ
природа	p r e r ɔ d ɐ
пристрій	p r ɪ s tʲ rʲ i i̯
присутній	p r e s u tʲ nʲ i i̯
присутність	p r e s u tʲ nʲ i sʲ tʲ
причина	p r e t͡ʃ ɪ n ɐ
приємний	p r e j ɛ m n e i̯
приїзд	p r e j i z d
проблема	p r ɔ b ɫ ɛ m ɐ
проведення	p r ɔ ʋ ɛ d e nʲː ɐ
програма	p r ɔ ɦ r ɑ m ɐ
продавати	p r ɔ d ɐ ʋ ɑ t e
продовження	p r ɔ d ɔ u̯ ʒ e nʲː ɐ
продовжувати	p r ɔ d ɔ u̯ ʒ ʊ ʋ ɐ t e
продукт	p r o d u k t
продукція	p r o d u k t͡sʲ i j ɐ
проконтролювати	p r ɔ k ɔ n t r ɔ lʲ ʊ ʋ ɑ t e
пропозицію	p r ɔ p ɔ z ɪ t͡sʲ i j ʊ
пропустити	p r ɔ p ʊ s t ɪ t e
простір	p r ɔ sʲ tʲ i r
протягом	p r ɔ tʲ ɐ ɦ ɔ m
процес	p r ɔ t͡s ɛ s
проєкт	p r ɔ j ɛ k t
прізвище	p rʲ i z ʋ e ʃ t͡ʃ e
птах	p t ɑ x
пункт	p u n k t
півзахисник	pʲ i u̯ z ɐ x e s n ɪ k
північ	pʲ i u̯ nʲ i t͡ʃ
під	pʲ i d
підвищення	pʲ i d ʋ ɪ ʃ t͡ʃ e nʲː ɐ
підвищити	pʲ i d ʋ ɪ ʃ t͡ʃ e t e
підняти	pʲ i dʲ nʲ ɑ t e
підписати	pʲ i d p e s ɑ t e
підприємство	pʲ i d p r e j ɛ m s t w ɔ
підрости	pʲ i d r ɔ s t ɪ
підхід	pʲ i dʲ xʲ i d
після	pʲ i sʲ lʲ ɐ
пісня	pʲ i sʲ nʲ ɐ
піти	pʲ i t ɪ
рада	r ɑ d ɐ
ради	r ɑ d e
радянська	r ɐ dʲ ɑ nʲ sʲ k ɐ
разом	r ɑ z ɔ m
разі	r ɑ zʲ i
ранку	r ɑ n k ʊ
раніше	r ɐ nʲ i ʃ e
рахунок	r ɐ x u n ɔ k
регулювати	r e ɦ ʊ lʲ ʊ ʋ ɑ t e
регіональний	r e ɦʲ i ɔ n ɑ lʲ n e i̯
результат	r e z ʊ lʲ t ɑ t
республіка	r e s p u b lʲ i k ɐ
ретельно	r e t ɛ lʲ n ɔ
ризик	r ɪ z e k
робити	r ɔ b ɪ t e
робота	r ɔ b ɔ t ɐ
родина	r ɔ d ɪ n ɐ
розвиток	r ɔ z ʋ e t ɔ k
розглянути	r ɔ z ɦ lʲ ɑ n ʊ t e
розмір	r ɔ zʲ mʲ i r
розповідати	r ɔ z p ɔ ʋʲ i d ɑ t e
розпочати	r ɔ z p ɔ t͡ʃ ɑ t e
розслідування	r o z sʲ lʲ i d ʊ ʋ ɐ nʲː ɐ
розташований	r ɔ z t ɐ ʃ ɔ ʋ ɐ n e i̯
року	r ɔ k ʊ
роль	r ɔ lʲ
роман	r ɔ m ɑ n
російський	r o sʲ i i̯ sʲ k e i̯
росія	r o sʲ i j ɐ
рук	r u k
руками	r ʊ k ɑ m e
рукою	r ʊ k ɔ j ʊ
руку	r u k ʊ
рівень	rʲ i ʋ e nʲ
рідна	rʲ i d n ɐ
різний	rʲ i z n e i̯
рік	rʲ i k
рішення	rʲ i ʃ e nʲː ɐ
савченко	s ɑ u̯ t͡ʃ e n k ɔ
самостійно	s ɐ m o sʲ tʲ i i̯ n ɔ
своє	s w ɔ j ɛ
святковий	sʲ ʋʲ ɐ t k ɔ ʋ e i̯
святкування	sʲ ʋʲ ɐ t k ʊ ʋ ɑ nʲː ɐ
свідчити	sʲ ʋʲ i d͡ʒ t͡ʃ e t e
свій	sʲ ʋʲ i i̯
світ	sʲ ʋʲ i t
світло	sʲ ʋʲ i t ɫ ɔ
світлофор	sʲ ʋʲ i t ɫ ɔ f ɔ r
себе	s e b ɛ
сезон	s e z ɔ n
семи	s e m ɪ
сервіс	s ɛ r ʋʲ i s
сергій	s e r ɦʲ i i̯
серед	s ɛ r e d
серце	s ɛ r t͡s e
сигнал	s e ɦ n ɑ ɫ
сидіти	s e dʲ i t e
симетрично	s e m e t r ɪ t͡ʃ n ɔ
син	s ɪ n
синтетичний	s e n t e t ɪ t͡ʃ n e i̯
система	s e s t ɛ m ɐ
ситуацію	s e t ʊ ɑ t͡sʲ i j ʊ
ситуація	s e t ʊ ɑ t͡sʲ i j ɐ
ситуації	s e t ʊ ɑ t͡sʲ i j i
сказати	s k ɐ z ɑ t e
скандал	s k ɐ n d ɑ ɫ
скільки	sʲ kʲ i lʲ k e
слабкість	s ɫ ɑ b kʲ i sʲ tʲ
словами	s ɫ ɔ ʋ ɑ m e
слуга	s ɫ ʊ ɦ ɑ
слів	sʲ lʲ i u̯
смартфон	s m ɐ r t f ɔ n
смерч	s m ɛ r t͡ʃ
сміх	sʲ mʲ i x
сміятися	sʲ mʲ i j ɑ t e sʲ ɐ
собі	s o bʲ i
совок	s ɔ w ɔ k
солодкий	s ɔ ɫ ɔ d k e i̯
солідарність	s ɔ lʲ i d ɑ r nʲ i sʲ tʲ
спалах	s p ɑ ɫ ɐ x
спека	s p ɛ k ɐ
список	s p ɪ s ɔ k
споживання	s p ɔ ʒ e ʋ ɑ nʲː ɐ
споживачі	s p ɔ ʒ e ʋ ɐ t͡ʃʲ i
спортивний	s p ɔ r t ɪ u̯ n e i̯
спосіб	s p ɔ sʲ i b
справ	s p r ɑ u̯
справам	s p r ɑ ʋ ɐ m
справді	s p r ɑ u̯ dʲ i
справи	s p r ɑ ʋ e
справі	s p r ɑ ʋʲ i
спричинити	s p r e t͡ʃ e n ɪ t e
спровокувати	s p r ɔ w ɔ k ʊ ʋ ɑ t e
спростити	s p r ɔ s t ɪ t e
спростовувати	s p r ɔ s t ɔ w ʊ ʋ ɐ t e
співавтор	sʲ pʲ i ʋ ɑ u̯ t ɔ r
стадіон	s t ɐ dʲ i ɔ n
стан	s t ɑ n
становище	s t ɐ n ɔ ʋ e ʃ t͡ʃ e
станції	s t ɑ nʲ t͡sʲ i j i
старий	s t ɐ r ɪ i̯
стати	s t ɑ t e
статистика	s t ɐ t ɪ s t e k ɐ
стаття	s t ɐ tʲː ɑ
створення	s t w ɔ r e nʲː ɐ
