ab	a p
einsteiger	a ɪ n ʃ t ɐ ɪ ɡ ɐ
einstellung	a ɪ̯ n ʃ t ɛ l ʊ ŋ
einwohner	a ɪ̯ n v oː n ɐ
empfehlen	ʔ ɛ m p f eː l ə n
empfehlung	ɛ m p f eː l ʊ ŋ
empört	ɛ m p øː ɐ̯ t
endlich	ɛ n t l ɪ ç
entscheidung	ʔ ɛ n t ʃ a ɪ̯ d ʊ ŋ
enttäuschend	ɛ n t t ɔ ɪ̯ ʃ n̩ t
erdnuss	eː ɐ̯ t n ʊ s
erdreich	eː ɐ̯ t ʁ a ɪ̯ ç
erforderlich	ɛ ɐ̯ f ɔ ʁ d ɐ l ɪ ç
ergebnisse	ɛ ɐ̯ ɡ eː p n ɪ s ə
erkrankung	ɛ r k r a ŋ k ʊ ŋ
erleichtern	ʔ ɛ ɐ̯ l a ɪ̯ ç t ɐ n
erleichterung	ɛ ɐ̯ l a ɪ̯ ç t ə ʁ ʊ ŋ
ermittler	ɛ ɐ̯ m ɪ t l ɐ
erneut	ɛ ʁ n ɔ ɪ̯ t
ernüchternd	ɛ ɐ̯ n ʏ ç t ɐ n t
erreichen	ɛ ɐ̯ ʁ a ɪ̯ ç ə n
erst	eː r s t
erste	eː r s t ə
erster	eː ɐ̯ s t ɐ
erwachsene	ɛ ɐ̯ v a k s ə n ə
erweitern	ʔ ɛ ɐ̯ v a ɪ̯ t ɐ n
essen	ɛ s ə n
etwa	ɛ t v a
etwas	ɛ t v a s
eventuell	e v ɛ n t u̯ ɛ l
existieren	ɛ k s ɪ s t iː ʁ ə n
fahndung	f aː n d ʊ ŋ
fand	f a n t
farbe	f a r b ə
farbenfroh	f a ʁ b n̩ f ʁ oː
fass	f a s
faustschlag	f a ʊ̯ s t ʃ l aː k
februar	f eː b r u aː r
fehler	f eː l ɐ
feld	f ɛ l t
fell	f ɛ l
fenster	f ɛ n s t ɐ
festlegen	f ɛ s t l eː ɡ ə n
feststellen	f ɛ s t ʃ t ɛ l ə n
feuer	f ɔ ʏ̯ ə r
findet	f ɪ n d ə t
flagge	f l a ɡ ə
fleisch	f l a ɪ̯ ʃ
flick	f l ɪ k
fläche	f l ɛ ç ə
fokus	f oː k ʊ s
folge	f ɔ l ɡ ə
form	f ɔ ʁ m
formulieren	f ɔ ʁ m u l iː ʁ ə n
fracht	f r a x t
fragen	f ʁ aː ɡ ə n
fraglich	f ʁ aː k l ɪ ç
frauen	f ʁ a ʊ ə n
freiburg	f ʁ a ɪ̯ b ʊ ʁ k
freien	f ʁ a ɪ̯ ə n
freude	f ʁ ɔ ʏ̯ d ə
freundin	f ʁ ɔ ʏ̯ n d ɪ n
frisch	f ʁ ɪ ʃ
front	f ʁ ɔ n t
frühjahrsputz	f ʁ yː j aː ɐ̯ s p ʊ t s
frühzeitig	f ʁ yː t͡s a ɪ̯ t ɪ ç
fährt	f ɛː r t
fälle	f ɛ l ə
fällen	f ɛ l ə n
fällt	f ɛ l t
fühlen	f yː l ə n
führung	f yː ʁ ʊ ŋ
füssen	f ʏ s n̩
gab	ɡ aː p
ganz	ɡ a n t s
ganze	ɡ a n t s ə
gebe	ɡ eː b ə
gedanken	ɡ ə d a ŋ k ə n
gefecht	ɡ ə f ɛ ç t
gefährlich	ɡ ə f ɛː ɐ̯ l ɪ ç
gefällt	ɡ ə f ɛ l t
gefühle	ɡ ə f yː l ə
gegen	ɡ e ɡ ə n
gegenteil	ɡ eː ɡ n̩ t a ɪ̯ l
geht	ɡ eː t
geht's	ɡ eː t s
gehört	ɡ ə h øː ɐ̯ t
geldanlage	ɡ ɛ l t ʔ a n l aː ɡ ə
gelesen	ɡ ə l eː z ə n
geliebt	ɡ ə l iː p t
gemacht	ɡ ə m a x t
gemeinde	ɡ ə m a ɪ̯ n d ə
gemusst	ɡ ə m ʊ s t
genauso	ɡ ə n a ʊ̯ z oː
genügen	ɡ ə n yː ɡ n̩
gerechtigkeit	ɡ ə ʁ ɛ ç t ɪ ç k a ɪ̯ t
gericht	ɡ ə ʁ ɪ ç t
gerne	ɡ ɛ r n ə
gesang	ɡ ə z a ŋ
gescheitert	ɡ ə ʃ a ɪ̯ t ɐ t
geschichte	ɡ ə ʃ ɪ ç t ə
geschäft	ɡ ə ʃ ɛ f t
geschätzt	ɡ ə ʃ ɛ t͡s t
gesellschaft	ɡ ə z ɛ l ʃ a f t
gesetzgeber	ɡ ə z ɛ t s ɡ eː b ɐ
gesetzlich	ɡ ə z ɛ t͡s l ɪ ç
gespenst	ɡ ə ʃ p ɛ n s t
gesprochen	ɡ ə ʃ p ʁ ɔ x n̩
gespräch	ɡ ə ʃ p ʁ ɛː ç
gestaltung	ɡ ə ʃ t a l t ʊ ŋ
gestellt	ɡ ə ʃ t ɛ l t
gestorben	ɡ ə ʃ t ɔ ʁ b ə n
gesundheit	ɡ ə z ʊ n t h a ɪ̯ t
getan	ɡ ə t aː n
getöse	ɡ ə t øː z ə
gewesen	ɡ ə v eː z ə n
gewinnen	ɡ ə v ɪ n ə n
gewiss	ɡ ə v ɪ s
gewährleisten	ɡ ə v ɛː ʁ l a ɪ̯ s t ə n
giessen	ɡ iː s ə n
gilt	ɡ ɪ l t
ging	ɡ ɪ ŋ
gitarrist	ɡ i t a ʁ ɪ s t
glasfaser	ɡ l aː s f aː z ɐ
gleich	ɡ l a ɪ̯ ç
gleichen	ɡ l a ɪ̯ ç ə n
gliederung	ɡ l iː d ə ʁ ʊ ŋ
grad	ɡ ʁ aː t
grossbritannien	ɡ ʁ oː s b ʁ ɪ t a n j ə n
grossen	ɡ ʁ oː s n̩
grosses	ɡ ʁ oː s ə s
grundstück	ɡ ʁ ʊ n t ʃ t ʏ k
grösser	ɡ ʁ øː s ɐ
grösstenteils	ɡ ʁ øː s t ə n t a ɪ̯ l s
gärtner	ɡ ɛ ʁ t n ɐ
günther	ɡ ʏ n t ɐ
habe	h aː b ə
halt	h a l t
haltbar	h a l t b aː ʁ
hanau	h aː n a ʊ̯
handy	h ɛ n d i
hatte	h a t ə
hauptstadt	h a ʊ̯ p t ʃ t a t
haushund	h a ʊ̯ s h ʊ n t
hektar	h ɛ k t aː ɐ̯
helfen	h ɛ l f n̩
herbst	h ɛ ʁ p s t
herrgottswinkel	h ɛ ʁ ɡ ɔ t͡s v ɪ ŋ k l̩
herrschaft	h ɛ ʁ ʃ a f t
hersteller	h eː ɐ̯ ʃ t ɛ l ɐ
herzen	h ɛ ʁ t s n̩
heuer	h ɔ ʏ̯ ɐ
hilfreich	h ɪ l f ʁ a ɪ̯ ç
hinten	h ɪ n t ə n
hinter	h ɪ n t ɐ
hinterlassen	h ɪ n t ɐ l a s n̩
hoffentlich	h ɔ f n̩ t l ɪ ç
hoffnung	h ɔ f n ʊ ŋ
husten	h uː s t ə n
hätte	h ɛ t ə
höhe	h øː ə
hörsaal	h øː ɐ̯ z aː l
ich	ɪ ç
ideen	i d eː ə n
ihrem	ʔ iː ʁ ə m
illegal	ɪ l e ɡ aː l
im	ɪ m
immer	ɪ m ɐ
impfung	ɪ m p͡f ʊ ŋ
indem	ɪ n d eː m
inne	ɪ n ə
innerhalb	ɪ n ɐ h a l p
insbesondere	ɪ n s b ə z ɔ n d ə ʁ ə
insgesamt	ɪ n s ɡ ə z a m t
intensiv	ɪ n t ɛ n z iː f
interessiert	ɪ n t ə ʁ s iː ɐ̯ t
investieren	ɪ n v ɛ s t iː ʁ ə n
inzidenz	ɪ n t͡s i d ɛ n t͡s
inzwischen	ɪ n t͡s v ɪ ʃ n̩
jahr	j aː r
jahre	j aː ʁ ə
jahrgang	j aː ɐ̯ ɡ a ŋ
jede	j eː d ə
jeden	j eː d n̩
jedenfalls	j eː d ə n f a l s
jedes	j eː d ə s
jedoch	j eː d ɔ x
jemand	j eː m a n t
jeweils	j eː v a ɪ̯ l s
jugendliche	j uː ɡ ə n t l ɪ ç ə
junge	j ʊ ŋ ə
jägers	j ɛː ɡ ɐ s
jährlich	j ɛː ɐ̯ l ɪ ç
kaiser	k a ɪ̯ z ɐ
kaiserslautern	k a ɪ z ɐ s l a ʊ t ɐ n
kampagne	k a m p a n j ə
kann	k a n
kanzlerin	k a n t s l ə ʁ ɪ n
kaum	k a ʊ̯ m
kehren	k eː ʁ ə n
kein	k a ɪ̯ n
keine	k a ɪ̯ n ə
kennzeichen	k ɛ n t s a ɪ ç ə n
kinder	k ɪ n d ɐ
kippen	k ɪ p ə n
klimakrise	k l iː m a k ʁ iː z ə
konnte	k ɔ n t ə
konsole	k ɔ n z oː l ə
konstant	k ɔ n s t a n t
konstantinopel	k ɔ n s t a n t i n oː p l̩
korrigieren	k ɔ ʁ i ɡ iː ʁ ə n
kraft	k ʁ a f t
kreisssaal	k ʁ a ɪ̯ s z aː l
kreisverkehr	k ʁ a ɪ̯ s f ɛ ɐ̯ k eː ɐ̯
krise	k ʁ iː z ə
kunden	k ʊ n d ə n
kurz	k ʊ ʁ t͡s
kurzarbeit	k ʊ ʁ t͡s ʔ a ʁ b a ɪ̯ t
kämpfen	k ɛ m p f ə n
könne	k œ n ə
können	k œ n ə n
könnt	k œ n t
könnte	k œ n t ə
körper	k œ r p ə r
kürzlich	k ʏ ʁ t s l ɪ ç
küster	k ʏ s t ɐ
lage	l aː ɡ ə
landkreis	l a n t k ʁ a ɪ̯ s
langen	l a ŋ ə n
laut	l a ʊ̯ t
leben	l eː b ə n
lebenspartner	l eː b n̩ s p a ʁ t n ɐ
lebt	l eː p t
leicht	l a ɪ̯ ç t
leise	l a ɪ z ə
leisten	l a ɪ̯ s t n̩
lernen	l ɛ ɐ n ə n
lesen	l eː z n̩
letzte	l ɛ t͡s t ə
letztlich	l ɛ t s t l ɪ ç
lieber	l iː b ɐ
linken	l ɪ ŋ k ə n
literatur	l ɪ t ə ʁ a t uː ɐ̯
losfahren	l oː s f aː ʁ ə n
losgehen	l oː s ɡ eː ə n
luft	l ʊ f t
lässt	l ɛ s t
lösung	l øː z ʊ ŋ
machte	m a x t ə
magazin	m a ɡ a t s iː n
magdeburg	m a k d ə b ʊ ʁ k
manch	m a n ç
mandat	m a n d aː t
manko	m a ŋ k o
mann	m a n
marke	m a ʁ k ə
massiv	m a s iː f
massnahmen	m aː s n aː m ə n
matthias	m a t iː a s
mau	m a ʊ̯
mechanismus	m e ç a n ɪ s m ʊ s
meine	m a ɪ̯ n ə
meiner	m a ɪ̯ n ɐ
meistens	m a ɪ̯ s t n̩ s
mich	m ɪ ç
mikrofon	m i k ʁ o f oː n
mild	m ɪ l t
milliarde	m ɪ l j aː d ə
ministerpräsident	m i n ɪ s t ɐ p ʁ ɛː z i d ɛ n t
minute	m i n uː t ə
mit	m ɪ t
mitarbeiter	m ɪ t a r b a ɪ̯ t ə r
mitglieder	m ɪ t ɡ l iː d ɐ
mitgliedern	m ɪ t ɡ l iː d ɐ n
mithilfe	m ɪ t h ɪ l f ə
mitte	m ɪ t ə
mitteilen	m ɪ t t a ɪ̯ l ə n
mittelfeld	m ɪ t ə l f ɛ l t
mitternacht	m ɪ t ɐ n a χ t
mittwoch	m ɪ t v ɔ x
mobilität	m o b i l i t ɛː t
moderne	m o d ɛ ʁ n ə
monate	m oː n a t ə
monats	m oː n a t͡s
moral	m o ʁ aː l
musiker	m uː z i k ɐ
muss	m ʊ s
musste	m ʊ s t ə
männer	m ɛ n ɐ
möchte	m œ ç tʰ ə
möglich	m øː k l ɪ ç
möglichkeit	m øː k l ɪ ç k a ɪ̯ t
müller	m ʏ l ɐ
müsse	m ʏ s ə
müssen	m ʏ s ə n
müsste	m ʏ s t ə
nachrichtenagentur	n aː χ ʁ ɪ ç t ə n a ɡ ɛ n t uː ɐ
nacken	n a k ə n
nahe	n aː ə
nase	n aː z ə
nasenloch	n aː z ə n l ɔ χ
nazis	n aː t s iː s
nebst	n eː p s t
nennen	n ɛ n ə n
nennwert	n ɛ n v eː r t
nett	n ɛ t
netz	n ɛ t͡s
neu	n ɔ ʏ̯
neudeutsch	n ɔ ɪ̯ d ɔ ɪ̯ t͡ʃ
neun	n ɔ ʏ̯ n
niederlande	n iː d ɐ l a n d ə
niedersachsen	n iː d ɐ z a k s ə n
niederösterreich	n iː d ɐ ʔ øː s t ə ʁ a ɪ̯ ç
normalerweise	n ɔ ʁ m aː l ɐ v a ɪ̯ z ə
notfall	n oː t f a l
notstand	n oː t ʃ t a n t
oben	ʔ oː b ə n
offenbar	ɔ f n̩ b aː ɐ̯
offiziell	ɔ f i t s j ɛ l
oft	ɔ f t
ohne	oː n ə
ohnehin	oː n ə h ɪ n
ordnungsgemäss	ɔ ʁ d n ʊ ŋ s ɡ ə m ɛː s
ortschaft	ɔ ʁ t ʃ a f t
ostersonntag	oː s t ɐ z ɔ n t aː k
pappbecher	p a p b ɛ ç ɐ
pariser	p a ʁ iː z ɐ
parkplatz	p a r k p l a t͡s
parteipolitik	p a ʁ t a ɪ̯ p o l i t iː k
pfleger	p f l eː ɡ ɐ
phase	f aː z ə
pilgern	p ɪ l ɡ ɐ n
pkw	p eː k a v eː
planen	p l aː n ə n
podest	p o d ɛ s t
polarstern	p o l aː ɐ̯ ʃ t ɛ ɐ̯ n
polizist	p o l i t͡s ɪ s t
polizisten	p o l i t͡s ɪ s t ə n
portugiesin	p ɔ ʁ t u ɡ iː z ɪ n
postfach	p ɔ s t f a χ
premierministerin	p ʁ e m j eː m i n ɪ s t ɐ ʁ ɪ n
prinz	p ʁ ɪ n t͡s
probieren	p ʁ o b iː ʁ ə n
profi	p ʁ oː f i
profitieren	p ʁ o f i t iː ʁ ə n
prognose	p ʁ o ɡ n oː z ə
programm	p r o ɡ r a m
projekt	p ʁ o j ɛ k t
promille	p ʁ o m ɪ l ə
prominenter	p ʁ ɔ m i n ɛ n t ɐ
publikum	p uː b l iː k ʊ m
quer	k v eː ɐ̯
querdenker	k v eː ɐ̯ d ɛ ŋ k ɐ
rahmen	ʁ aː m ə n
raum	ʁ a ʊ̯ m
rechnen	ʁ ɛ ç n ə n
regierung	ʁ ə ɡ iː ʁ ʊ ŋ
reicher	ʁ a ɪ̯ ç ɐ
reichlich	ʁ a ɪ̯ ç l ɪ ç
reihe	ʁ a ɪ̯ ə
rekord	ʁ e k ɔ ʁ t
rendite	ʁ ɛ n d iː t ə
respektive	r e s p ɛ k t iː v e
richtung	ʁ ɪ ç t ʊ ŋ
richtungen	ʁ ɪ ç t ʊ ŋ
rote	ʁ oː t ə
russe	ʁ ʊ s ə
räume	ʁ ɔ ɪ̯ m ə
räumen	ʁ ɔ ɪ̯ m ə n
rückzug	ʁ y k t s uː k
saal	z aː l
sache	z a x ə
sachen	z a x n̩
sage	z aː ɡ ə
saniert	z a n iː ɐ̯ t
scharf	ʃ a r f
scheut	ʃ ɔ ʏ̯ t
schicksal	ʃ ɪ k z aː l
schieben	ʃ iː b ə n
schien	ʃ iː n
schienen	ʃ iː n ə n
schlagen	ʃ l aː ɡ n̩
schliesslich	ʃ l iː s l ɪ ç
schloss	ʃ l ɔ s
schlusspunkt	ʃ l ʊ s p ʊ ŋ k t
schlüsselanhänger	ʃ l ʏ s l̩ ʔ a n h ɛ n ɡ ɐ
schmoren	ʃ m oː ʁ ə n
schneefall	ʃ n eː f a l
schnell	ʃ n ɛ l
schnellen	ʃ n ɛ l n̩
schneller	ʃ n ɛ l ɐ
schule	ʃ uː l ə
schutz	ʃ ʊ t͡s
schweizer	ʃ v a ɪ̯ t͡s ɐ
schweren	ʃ v eː r ə n
schätzung	ʃ ɛ t s ʊ ŋ
schöne	ʃ øː n ə
schönste	ʃ øː n s t ə
schüler	ʃ yː l ɐ
schülern	ʃ yː l ɐ n
sechs	z ɛ k s
sehnsüchtig	z eː n z ʏ ç t ɪ ç
sehr	z eː r
seid	z a ɪ̯ t
seien	z a ɪ̯ ə n
seine	z a ɪ̯ n ə
seiner	z a ɪ̯ n ɐ
seines	z a ɪ̯ n ə s
seit	z a ɪ̯ t
seite	z a ɪ̯ t ə
seiten	z a ɪ̯ t ə n
selbstmord	z ɛ l p s t m ɔ ʁ t
selbstverwirklichung	z ɛ l p s t f ɛ ɐ̯ v ɪ ʁ k l ɪ ç ʊ ŋ
senat	z e n aː t
sender	z ɛ n d ɐ
setzen	z ɛ t s ə n
sich	z ɪ ç
sicherheit	z ɪ ç ɐ h a ɪ̯ t
sicherlich	z ɪ ç ɐ l ɪ ç
sichern	z ɪ ç ɐ n
sieger	z iː ɡ ɐ
sinkt	z ɪ ŋ k t
sinnvoll	z ɪ n f ɔ l
sogar	z o ɡ aː ɐ̯
solche	z ɔ l ç ə
soldaten	z ɔ l d aː t n
soll	z ɔ l
sommer	z ɔ m ɐ
spann	ʃ p a n
spaziergang	ʃ p a t͡s iː ɐ̯ ɡ a ŋ
speed	s p iː t
spiel	ʃ p iː l
spielen	ʃ p iː l ə n
spieler	ʃ p iː l ɐ
sportler	ʃ p ɔ ʁ t l ɐ
sprechen	ʃ p r ɛ ç ə n
sprecher	ʃ p r ɛ ç ə r
spricht	ʃ p ʁ ɪ ç t
sprung	ʃ p ʁ ʊ ŋ
spur	ʃ p uː ɐ̯
spüren	ʃ p yː ʁ ə n
staatsanwalt	ʃ t aː t͡s ʔ a n v a l t
staatsanwaltschaft	ʃ t aː t͡s ʔ a n v a l t ʃ a f t
stark	ʃ t a r k
starten	ʃ t a r t ə n
statt	ʃ t a t
stattdessen	ʃ t a t d ɛ s n̩
steinmauer	ʃ t a ɪ n m a ʊ̯ ɐ
sterben	ʃ t ɛ ʁ b ə n
stets	ʃ t eː t s
steuern	ʃ t ɔ ɪ̯ ɐ n
stichwort	ʃ t ɪ ç v ɔ ʁ t
stieg	ʃ t iː k
stimme	ʃ t ɪ m ə
stockerl	ʃ t ɔ k ɐ l
stolz	ʃ t ɔ l t͡s
strafe	ʃ t ʁ aː f ə
strasse	ʃ t r aː s ə
strich	ʃ t ʁ ɪ ç
stufe	ʃ t uː f ə
stunden	ʃ t ʊ n d ə n
stärke	ʃ t ɛ r k ə
stück	ʃ t ʏ k
stürmer	ʃ t ʏ r m ə r
suchen	z uː x ə n
suchmaschine	z uː x m a ʃ iː n ə
sucht	z ʊ x t
süden	z yː d ə n
sündenbock	z ʏ n d ə n b ɔ k
tage	t aː ɡ ə
tagen	t aː ɡ ə n
tat	t aː t
tatsächlich	t aː t z ɛ ç l ɪ ç
teilweise	t a ɪ̯ l v a ɪ̯ z ə
tests	t ɛ s t s
teuer	t ɔ ʏ̯ ɐ
thermometer	t ɛ ʁ m o m eː t ɐ
thüringen	t yː ʁ ɪ ŋ ə n
tirol	t i ʁ oː l
tolle	t ɔ l ə
tonnen	t ɔ n ə n
transfer	t r a n s f eː r
tritt	t ʁ ɪ t
trockenheit	t ʁ ɔ k ə n h a ɪ̯ t
trugen	t ʁ uː ɡ n
tränen	t ʁ ɛ n ə n
tschernobyl	t͡ʃ ɛ ʁ n oː b ʏ l
tweet	t v iː t
twitter	t v ɪ t ə r
töpfern	t œ p f ɐ n
uhr	uː r
um	ʊ m
umgang	ʊ m ɡ a ŋ
umsetzung	ʊ m z ɛ t s ʊ ŋ
unabhängig	ʊ n a p h ɛ ŋ ɪ ç
unermüdlich	ʊ n ɛ ɐ m yː t l ɪ ç
unfall	ʊ n f a l
ungebrochen	ʊ n ɡ ə b ʁ ɔ χ n̩
ungestraft	ʊ n ɡ ə ʃ t ʁ aː f t
ungewöhnlich	ʊ n ɡ ə v øː n l ɪ ç
unglaublich	ʊ n ɡ l a u̯ p l ɪ ç
uns	ʊ n s
unter	ʊ n t ɐ
unterirdisch	ʊ n t ɐ ʔ ɪ ʁ d ɪ ʃ
unternehmen	ʊ n t ɐ n eː m ə n
unternehmer	ʊ n t ɐ n eː m ɐ
unterschied	ʔ ʊ n tʰ ɐ ʃ iː t
unterschiedlich	ʊ n t ɐ ʃ iː t l ɪ ç
unterstützung	ʊ n t ɐ ʃ t ʏ t͡s ʊ ŋ
unterwegs	ʊ n t ɐ v eː k s
unzufriedenheit	ʔ ʊ n t͡s u f ʁ iː d ə n h a ɪ̯ t
ursprünglich	ʔ uː ɐ̯ ʃ p ʁ ʏ ŋ l ɪ ç
veranstaltung	f ɛ ɐ̯ a n ʃ t a l t ʊ ŋ
verantwortung	f ɛ ɐ̯ ʔ a n t v ɔ ʁ t ʊ ŋ
verbindung	f ɛ ɐ̯ b ɪ n d ʊ ŋ
verein	f ɛ ɐ̯ ʔ a ɪ̯ n
vereinigung	f ɛ ɐ̯ ʔ a ɪ̯ n ɪ ɡ ʊ ŋ
verfassung	f ɛ ɐ̯ f a s ʊ ŋ
verfügung	f ɛ ɐ̯ f yː ɡ ʊ ŋ
vergabe	f ɛ ɐ̯ ɡ aː b ə
vergangenheit	f ɛ ɐ̯ ɡ a ŋ ə n h a ɪ̯ t
vergessen	f ɛ ɐ̯ ɡ ɛ s ə n
verhindert	f ɛ ʁ h ɪ n d ɐ t
verhältnis	f ɛ ɐ̯ h ɛ l t n ɪ s
verkauf	f ɛ ɐ̯ k a ʊ̯ f
verkehr	f ɛ r k eː r
verkürzen	f ɛ ɐ̯ k ʏ ʁ t͡s ə n
verlassen	f ə r l a s ə n
